node,x_mm,y_mm,z_mm
258,-11.999659538269043,-7.494955062866211,-7.123602867126465
259,-12.383251190185547,-7.198358535766602,-6.942389488220215
260,-12.855942726135254,-6.994383335113525,-6.996291637420654
261,-12.140482902526855,-8.150360107421875,-8.368839263916016
262,-11.859498023986816,-8.044591903686523,-7.947164058685303
263,-13.291077613830566,-6.937682151794434,-7.2708659172058105
264,-13.572062492370605,-7.043449401855469,-7.692541599273682
265,-13.623608589172363,-7.283344268798828,-8.148329734802246
266,-13.431901931762695,-7.593087196350098,-8.516101837158203
267,-13.048310279846191,-7.889683246612549,-8.697315216064453
268,-12.575618743896484,-8.093659400939941,-8.643413543701172
269,-11.6112642288208,-7.409708499908447,-7.7215142250061035
270,-11.802970886230469,-7.099965572357178,-7.353740692138672
271,-12.186562538146973,-6.803369522094727,-7.172527313232422
272,-12.65925407409668,-6.59939432144165,-7.226429462432861
273,-11.943794250488281,-7.755370616912842,-8.598977088928223
274,-11.662809371948242,-7.649603366851807,-8.177301406860352
275,-13.094388961791992,-6.542693138122559,-7.501004219055176
276,-13.375373840332031,-6.648460388183594,-7.922679424285889
277,-13.426919937133789,-6.888355255126953,-8.378467559814453
278,-13.235212326049805,-7.198098659515381,-8.74623966217041
279,-12.851621627807617,-7.494694232940674,-8.92745304107666
280,-12.37893009185791,-7.69866943359375,-8.873552322387695
281,-11.414575576782227,-7.014719486236572,-7.9516520500183105
282,-11.606282234191895,-6.704977035522461,-7.583878517150879
283,-11.989873886108398,-6.408380508422852,-7.402665138244629
284,-12.462565422058105,-6.204405307769775,-7.456567287445068
285,-11.747105598449707,-7.360381603240967,-8.82911491394043
286,-11.466120719909668,-7.254614353179932,-8.407439231872559
287,-12.897700309753418,-6.147704124450684,-7.731142044067383
288,-13.178685188293457,-6.253471374511719,-8.152817726135254
289,-13.230231285095215,-6.493366241455078,-8.60860538482666
290,-13.038524627685547,-6.803109169006348,-8.976378440856934
291,-12.654932975769043,-7.099705219268799,-9.157591819763184
292,-12.182241439819336,-7.303680419921875,-9.103690147399902
293,-11.217936515808105,-6.619826316833496,-8.181735038757324
294,-11.409639358520508,-6.310077667236328,-7.813965320587158
295,-11.793213844299316,-6.0134501457214355,-7.63277006149292
296,-12.265878677368164,-5.809421062469482,-7.686702251434326
297,-11.550439834594727,-6.965437412261963,-9.059226989746094
298,-11.269471168518066,-6.859703063964844,-8.637532234191895
299,-12.700984954833984,-5.752662181854248,-7.961311340332031
300,-12.981949806213379,-5.858391284942627,-8.38300895690918
301,-13.033490180969238,-6.098276138305664,-8.838801383972168
302,-12.841793060302734,-6.4080376625061035,-9.206563949584961
303,-12.458223342895508,-6.7046732902526855,-9.387754440307617
304,-11.985554695129395,-6.908695697784424,-9.33382511138916
305,-11.042431831359863,-6.308802604675293,-8.359439849853516
306,-11.22916030883789,-5.981402397155762,-7.996626377105713
307,-11.600627899169922,-5.65597677230835,-7.833627700805664
308,-12.046566009521484,-5.420771598815918,-7.908759117126465
309,-11.356704711914062,-6.612424850463867,-9.266793251037598
310,-11.087606430053711,-6.536430835723877,-8.828307151794434
311,-12.456086158752441,-5.328364372253418,-8.19786548614502
312,-12.725183486938477,-5.404361248016357,-8.636350631713867
313,-12.770360946655273,-5.631989002227783,-9.105216026306152
314,-12.58365249633789,-5.959424018859863,-9.46800708770752
315,-12.212190628051758,-6.284856796264648,-9.631003379821777
316,-11.766242027282715,-6.520045280456543,-9.555882453918457
317,-10.832634925842285,-6.011334419250488,-8.522261619567871
318,-11.013103485107422,-5.66848087310791,-8.163227081298828
319,-11.368446350097656,-5.31467342376709,-8.017468452453613
320,-11.784319877624512,-5.0489325523376465,-8.112290382385254
321,-11.12350082397461,-6.275134086608887,-9.45663833618164
322,-10.870285987854004,-6.2284650802612305,-9.002326011657715
323,-12.164798736572266,-4.921989917755127,-8.41507625579834
324,-12.418025016784668,-4.968684673309326,-8.869376182556152
325,-12.45566463470459,-5.18578577041626,-9.349451065063477
326,-12.27523136138916,-5.528692722320557,-9.708449363708496
327,-11.919881820678711,-5.882486343383789,-9.854220390319824
328,-11.50399398803711,-6.14820671081543,-9.75941276550293
329,-10.590576171875,-5.7302751541137695,-8.6686429977417
330,-10.763830184936523,-5.3741254806518555,-8.312492370605469
331,-11.099074363708496,-4.992900371551514,-8.182586669921875
332,-11.481745719909668,-4.697605133056641,-8.295268058776855
333,-10.853254318237305,-5.956791877746582,-9.626888275146484
334,-10.619914054870605,-5.938424587249756,-9.15804672241211
335,-11.829902648925781,-4.537687301635742,-8.610776901245117
336,-12.063272476196289,-4.55609655380249,-9.079597473144531
337,-12.09257698059082,-4.764195442199707,-9.569022178649902
338,-11.919380187988281,-5.1204118728637695,-9.925130844116211
339,-11.584112167358398,-5.501606464385986,-10.055055618286133
340,-11.201420783996582,-5.796879768371582,-9.942390441894531
341,-10.318663597106934,-5.468418121337891,-8.797127723693848
342,-10.483957290649414,-5.101016521453857,-8.443242073059082
343,-10.795283317565918,-4.693856239318848,-8.327420234680176
344,-11.141852378845215,-4.370280742645264,-8.455875396728516
345,-10.548762321472168,-5.660508155822754,-9.775848388671875
346,-10.33914566040039,-5.6688408851623535,-9.29407024383545
347,-11.454615592956543,-4.179328918457031,-8.783026695251465
348,-11.66427230834961,-4.171040058135986,-9.264784812927246
349,-11.684706687927246,-4.371408939361572,-9.761749267578125
350,-11.519479751586914,-4.738874912261963,-10.115596771240234
351,-11.208118438720703,-5.146000385284424,-10.231438636779785
