element,side,region,center_x_mm,angle_error_deg
12839,1,tail,2.29999995231628,0.0
12845,1,body,2.0801612536112466,0.38214156364672147
12853,1,tail,2.29999995231628,0.0
12857,1,tail,2.29999995231628,0.0
12858,1,body,2.02020517985026,0.38219584860227335
12859,1,tail,2.29999995231628,0.0
12860,1,tail,2.29999995231628,0.0
12863,1,tail,2.29999995231628,0.0
12868,1,tail,2.29999995231628,0.0
12872,3,tail,2.29999995231628,0.0
12875,1,body,0.7211577097574869,0.38228531031288693
12880,1,tail,2.29999995231628,0.0
12885,1,tail,2.29999995231628,0.0
12887,1,body,2.04019053777059,0.3822577215025793
12891,1,tail,2.29999995231628,0.0
12894,1,tail,2.29999995231628,0.0
12895,1,tail,2.29999995231628,0.0
12901,1,body,2.1401173273722303,0.38224617766867414
12903,1,tail,2.29999995231628,0.0
12904,1,tail,2.29999995231628,0.0
12905,1,tail,2.29999995231628,0.0
12906,1,head,0.0534990628560384,0.3168219695082166
12913,1,tail,2.29999995231628,0.0
12915,1,tail,2.29999995231628,0.0
12916,1,tail,2.29999995231628,0.0
12918,1,body,2.02020517985026,0.38221582813226174
12920,1,tail,2.29999995231628,0.0
12922,1,tail,2.29999995231628,0.0
12926,1,body,1.8003663619359334,0.3821820098301703
12929,1,tail,2.29999995231628,0.0
12931,1,body,0.4613482356071474,0.38222767464901297
12935,1,tail,2.29999995231628,0.0
12938,1,body,2.02020517985026,0.38220314737619504
12942,1,tail,2.29999995231628,0.0
12946,2,body,2.22005860010783,0.3821736136144295
12948,1,tail,2.29999995231628,0.0
12951,1,body,1.92027842998505,0.38217945105212764
12955,1,body,1.9002931118011501,0.3822669044776741
12959,1,body,1.9602491060892764,0.3822290434487542
12961,1,tail,2.29999995231628,0.0
12963,1,tail,2.29999995231628,0.0
12966,1,body,0.581260283788045,0.3821375289892907
12968,1,body,1.9602491060892764,0.38223681995088304
12970,1,tail,2.29999995231628,0.0
12974,1,tail,2.29999995231628,0.0
12976,1,tail,2.29999995231628,0.0
12981,1,tail,2.29999995231628,0.0
12982,1,tail,2.29999995231628,0.0
12986,1,tail,2.29999995231628,0.0
12987,1,tail,2.29999995231628,0.0
12991,1,body,0.4613482356071474,0.38228910736011373
13001,2,tail,2.29999995231628,0.0
13003,1,body,2.04019053777059,0.38216168527202715
13005,1,body,1.66046897570292,0.38220314737714867
13006,4,body,2.2800145943959538,0.38214477166210814
13010,1,head,0.026767561212182062,0.14764740546340419
13011,2,head,0.046102002263069174,0.2539307790110677
13012,1,head,0.20968144138654066,0.39927253088627146
13020,1,body,1.2407766977945967,0.3822194153933896
13023,1,body,2.0801612536112466,0.38225772150162585
13026,1,tail,2.29999995231628,0.0
13027,1,body,1.9802344640096032,0.38223681995088304
13037,1,body,1.92027842998505,0.3822310848311816
13039,1,tail,2.29999995231628,0.0
13040,1,tail,2.29999995231628,0.0
13041,1,body,1.92027842998505,0.3822424946729376
13044,1,tail,2.29999995231628,0.0
13056,1,body,1.9602491060892764,0.3822451605274954
13067,1,tail,2.29999995231628,0.0
13073,1,body,2.04019053777059,0.38227139553635087
13077,1,body,1.9802344640096032,0.38215062626588026
13082,3,tail,2.29999995231628,0.0
13086,1,head,0.085657425224781,0.10744406217048735
13088,3,tail,2.29999995231628,0.0
13089,1,tail,2.29999995231628,0.0
13092,1,body,1.92027842998505,0.3822529664443458
13094,1,body,1.50058615207672,0.38217536936221885
13095,1,body,1.6005129019419366,0.3821927661975833
13096,4,body,2.2800145943959538,0.38229421641629946
13098,1,body,1.9802344640096032,0.38225956660233357
13099,1,tail,2.29999995231628,0.0
13102,1,body,1.68045433362325,0.38213364792439247
13103,1,body,1.92027842998505,0.3821297058602288
13113,1,tail,2.29999995231628,0.0
13114,1,body,1.8403370777765902,0.382251160443403
13119,2,body,0.9609818657239281,0.38217233181621346
13123,1,body,1.92027842998505,0.38217077375554753
13130,1,tail,2.29999995231628,0.0
13138,4,body,1.2407766977945967,0.38223862667654745
13140,1,body,1.66046897570292,0.38214156364672147
13151,1,body,1.92027842998505,0.38220954527337353
