time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_since_window_start_J,Whydro_since_window_start_J,Fwall_norm_N
0.0010086,1.8057623902647813e-06,2.4331503073286133e-07,2.0490774209976424e-06,5.241149335730115e-08,-3.144482882528489e-11,0.0
0.0010087,1.8057616715107362e-06,2.4326680313449457e-07,2.0490284746452307e-06,5.236311345738259e-08,-3.190255458791172e-11,0.0
0.0010088,1.8057612271608052e-06,2.4321879037905045e-07,2.0489800175398556e-06,5.231491707597813e-08,-3.236027736589451e-11,0.0
0.0010088999999999999,1.8057606265144228e-06,2.431709188664341e-07,2.048931545380857e-06,5.2266904220958414e-08,-3.281799717996658e-11,0.0
0.001009,1.8057600517873882e-06,2.4312325431112486e-07,2.048883306098513e-06,5.221907490028215e-08,-3.3275714037561504e-11,0.0
0.0010091,1.8057593330338554e-06,2.430757648231352e-07,2.0488350978569906e-06,5.217142910684613e-08,-3.373342794744853e-11,0.0
0.0010092,1.8057587583070372e-06,2.4302848742013527e-07,2.0487872457271727e-06,5.2123966840828226e-08,-3.4191138925283495e-11,0.0
0.0010092999999999999,1.805758157661102e-06,2.4298134942219663e-07,2.0487395070832987e-06,5.207668810288065e-08,-3.464884699205099e-11,0.0
0.0010094,1.805757464827182e-06,2.429344229160975e-07,2.0486918877432797e-06,5.202959289357219e-08,-3.5106552154963934e-11,0.0
0.0010095,1.80575686418148e-06,2.4288765801513553e-07,2.0486445221966155e-06,5.198268121315696e-08,-3.556425442995702e-11,0.0
0.0010096,1.8057562635358896e-06,2.4284111637050105e-07,2.0485973799063906e-06,5.1935953061796305e-08,-3.6021953836931293e-11,0.0
0.0010096999999999999,1.8057555707023535e-06,2.427947109173576e-07,2.048550281619711e-06,5.1889408440045044e-08,-3.64796503856026e-11,0.0
0.0010098,1.8057549700569956e-06,2.4274851196307326e-07,2.048503482020069e-06,5.1843047355917376e-08,-3.693734409077635e-11,0.0
0.0010099,1.8057543953309112e-06,2.427024860822368e-07,2.048456881413148e-06,5.179686980227239e-08,-3.739503497429051e-11,0.0
0.00101,1.8057537946857676e-06,2.426566852219168e-07,2.0484104799076845e-06,5.175087577187981e-08,-3.785272305139354e-11,0.0
0.0010100999999999999,1.8057531018527305e-06,2.4261104869150993e-07,2.04836415054424e-06,5.170506526488872e-08,-3.831040833111029e-11,0.0
0.0010102,1.8057525012078199e-06,2.4256554919426916e-07,2.048318050402089e-06,5.165943829697896e-08,-3.87680908265584e-11,0.0
