time_s,B_mT,command_deg,force_s_N,torque_rock_Nmm,theta_deg
0.0435801,10.999995523380825,11.287131484776069,2.938203119807203e-05,-1.2674781957872517e-05,11.347318096449623
0.0435901,10.999991652047246,11.229718040159982,2.9386016265023216e-05,-1.7205836026982925e-05,11.311471312780476
0.0436001,10.999989159879638,11.17186126550402,2.9389985476851533e-05,-2.1817591785096924e-05,11.275624716178827
0.0436101,10.999998410907345,11.113563444894584,2.9393939084595267e-05,-2.6425801856162888e-05,11.239747681034338
0.0436201,10.999989691171448,11.05482687982982,2.93978773381195e-05,-3.1257597716470607e-05,11.203848324399855
0.0436301,10.999989813248044,10.995653889128729,2.9401800497661828e-05,-3.610952563077655e-05,11.167935236783586
0.0436401,10.999997960968367,10.936046808839677,2.9405708824297062e-05,-4.098515676386444e-05,11.131977025092144
0.0436501,10.999988229717374,10.87600799214812,2.9409602575232407e-05,-4.607286792485467e-05,11.095981833201591
0.0436601,10.999991173034427,10.81553980928374,2.9413482020816597e-05,-5.115191742601155e-05,11.05995802461759
0.0436701,10.999994507222132,10.754644647426861,2.941734742640703e-05,-5.6305689308335384e-05,11.023873437583621
0.0436801,10.999987336788399,10.693324910614209,2.942119906134305e-05,-6.161020057835365e-05,10.98774981784816
0.0436901,10.999993309716213,10.63158301964398,2.9425037201143086e-05,-6.690275802064886e-05,10.951555273656899
0.0437001,10.999991483868598,10.569421411980331,2.942886211629273e-05,-7.231912360071809e-05,10.915297198060829
0.0437101,10.999987082182576,10.506842541657079,2.9432674084325216e-05,-7.782643421133548e-05,10.878984194610123
0.0437201,10.999996293956464,10.44384887918088,2.9436473385914104e-05,-8.331835103586744e-05,10.842583253848593
0.0437301,10.99998896018807,10.380442911433665,2.9440260296604755e-05,-8.898118457190024e-05,10.806102146187282
0.0437401,10.99998753610935,10.316627141574475,2.944403510110652e-05,-9.467677873789174e-05,10.769549278638348
0.0437501,10.999999798571235,10.252404088940622,2.9447798082155437e-05,-0.00010035573930653012,10.732891203830215
0.0437601,10.99998700609856,10.187776288948275,2.945154951940111e-05,-0.00010624602881099073,10.696136320932336
0.0437701,10.999988768905412,10.122746292992298,2.945528970169641e-05,-0.00011211490593494618,10.659291270856071
0.0437801,10.99999555885115,10.0573166683456,2.9459018914768488e-05,-0.00011801442951841721,10.622323612673242
0.0437901,10.999985691871725,9.991489998057718,2.9462737441353374e-05,-0.00012406633745886035,10.585240622920848
0.0438001,10.999990850750395,9.925268880852881,2.9466445573384228e-05,-0.00013009304348856072,10.548050110088454
0.0438101,10.999991819758817,9.858655931027412,2.9470143593597097e-05,-0.00013619565017942298,10.510718492317064
0.0438201,10.999985087848458,9.791653778346515,2.9473831791794206e-05,-0.0001423934125706215,10.47326663628979
0.0438301,10.999993851383131,9.724265067940431,2.9477510456878334e-05,-0.0001485620724421993,10.435660967263408
0.0438401,10.999988651958619,9.656492460200088,2.9481179873565005e-05,-0.0001548498221806961,10.397908962420225
0.0438501,10.999985264154807,9.588338630671974,2.94848403297454e-05,-0.00016117727677344304,10.360018105761762
0.0438601,10.999997839819207,9.51980626995258,2.9488492113227687e-05,-0.00016747162787372373,10.321953969801054
0.0438701,10.99998612612532,9.450898083582176,2.949285350864575e-05,-0.00017243435228753,10.276453954740218
0.0438801,10.999986290419027,9.381616791937956,2.9497667349136342e-05,-0.00017642069050367954,10.22630329775016
0.0438901,10.999997282395121,9.311965130126698,2.950246879055555e-05,-0.000180396188205957,10.175957341790161
0.0439001,10.999984312660143,9.241945847876737,2.9507257858413662e-05,-0.0001845206927345188,10.125431285461575
0.0439101,10.999988235490425,9.171561709429447,2.951203457739391e-05,-0.0001886069908308087,10.074739456948855
0.0439201,10.999992748166664,9.1008154934301,2.9516798966869007e-05,-0.0001927254247679328,10.023839761598694
0.0439301,10.99998328140846,9.029709992818168,2.9521551040256398e-05,-0.00019694016545010877,9.972747422291805
0.0439401,10.999991167160768,8.95824801471705,2.9526290813881634e-05,-0.00020111406699752419,9.921476657451935
0.0439501,10.999988859506479,8.886432380323297,2.953101829287291e-05,-0.00020536095449182653,9.869985477901881
0.0439601,10.999983101379792,8.814265924795174,2.9535733481340637e-05,-0.0002096533702774341,9.818288292050164
0.0439701,10.999995151888898,8.74175149714078,2.954043638231741e-05,-0.00021390224970666057,9.766400225379991
0.0439801,10.99998568680008,8.668891960105558,2.954512698562763e-05,-0.00021826280441469752,9.714278148089019
0.0439901,10.999983840470902,8.595690190059267,2.954980528510059e-05,-0.00022262008378264828,9.661956458539295
0.0440001,10.999999741112942,8.522149076882455,2.955447126733739e-05,-0.00022693300792761325,9.609392258484945
0.0440101,10.999983299537904,8.44827152385235,2.955912490790159e-05,-0.00023139023447244,9.556599822688723
0.0440201,10.999985565192564,8.374060447528228,2.9563766186197405e-05,-0.00023579934306844835,9.503594437987696
0.0440301,10.999994340299493,8.299518777636338,2.9568395070496163e-05,-0.00024020316694007307,9.45033251041298
0.0440401,10.999981766039925,8.224649456954152,2.957301152195091e-05,-0.00024470182235916145,9.396829213465512
0.0440501,10.99998834040078,8.149455441194263,2.95776155025625e-05,-0.00024914953117035336,9.343099704804878
