time_s,rp_x_mm,rp_y_mm,rp_z_mm,v_x_mm_s,v_y_mm_s,v_z_mm_s,s_displacement_mm,v_s_mm_s,rocking_angle_deg,omega_rock_rad_s,command_rocking_deg,Fmag1_N,Fmag2_N,Fmag3_N,Mmag1_Nmm,Mmag2_Nmm,Mmag3_Nmm
0.02672,-9.64113559113106,-3.523220711821474,-10.01364690339183,73.03808525105795,-4.234895702913073,15.797823738420275,0.9730280790711038,74.84544304894973,-24.29992024625547,-176.26519498229615,-12.793222783306819,2.6325866248e-05,-1.6673307653e-06,5.5952082983e-06,-0.000528222456,0.00020830982724,0.0023174180452
0.026730000000000004,-9.64040504019023,-3.523263122361856,-10.013488885637628,73.05433796535917,-4.246108092851996,15.801658967872903,0.9737767115627843,74.86279932452895,-24.399715621874215,-171.99729012777513,-12.835854014320619,2.6305877085999992e-05,-1.6660647653999997e-06,5.5909598709999985e-06,-0.0005329472187300016,0.0002005357128199973,0.002329199858300004
0.026740000000000003,-9.639674445946227,-3.5233056368252984,-10.01333086733153,73.07046564236111,-4.257301718365708,15.805430541008844,0.9745253928707722,74.88001916007882,-24.497038905510795,-167.7094555124664,-12.877978507796412,2.6286293597999992e-05,-1.6648244584999997e-06,5.586797664399998e-06,-0.0005375791108200017,0.0001927295801099973,0.002340550827300004
0.026750000000000003,-9.638943672888288,-3.523348266739781,-10.013172804321952,73.08648650783964,-4.268478178660078,15.809138226403132,0.9752742651655486,74.89712039992162,-24.59189835837064,-163.4017781909451,-12.919594600731347,2.6267123997999993e-05,-1.6636103649999996e-06,5.582723424199998e-06,-0.0005421059185800015,0.0001848832525499973,0.002351407638100004
0.026760000000000003,-9.63821278062106,-3.523391004687682,-10.013014696608888,73.10240061758536,-4.2796369976298045,15.812784883615,0.9760232697976468,74.91410366243078,-24.684278854461283,-159.0749007141414,-12.960700650193337,2.6248376300999994e-05,-1.6624229923999996e-06,5.578738853599998e-06,-0.0005465785316500015,0.00017704252655999727,0.0023620463604000033
0.026770000000000002,-9.637481573773764,-3.5234338623277806,-10.012856529843075,73.11821835621022,-4.290779760307032,15.816370215714066,0.9767726012019334,74.93097912228893,-24.774191644253307,-154.72868824228263,-13.001295033385928,2.6230058344999992e-05,-1.6612628371999996e-06,5.574845618899998e-06,-0.0005509440580000015,0.00016916499946999727,0.0023721868266000034
0.02678,-9.636750383483314,-3.5234768237930996,-10.01269836251892,73.13392646091037,-4.301900911916099,15.819895759175619,0.9775219229776799,74.94773380663463,-24.861589712217608,-150.36563091015046,-13.041376147712386,2.6212177765e-05,-1.6601303829e-06,5.5710453424e-06,-0.00055521339543,0.00016126209899,0.0023818895624
0.02679,-9.636018954774283,-3.5235198932918372,-10.012540150504174,73.14954296847874,-4.313003466463444,15.823362175654658,0.9782714934697135,74.9643856480797,-24.946481981805317,-145.98551418587098,-13.080942410838944,2.6194741989e-05,-1.6590260999e-06,5.5673396031e-06,-0.00055941435844,0.00015335959575,0.0023913087384
0.0268,-9.635287330694473,-3.523563086238527,-10.012381879430233,73.16506319851345,-4.324088051520454,15.826770109558106,0.9790212745858586,74.9809302497569,-25.02887296765493,-141.58829186964368,-13.119992260757284,2.6177758261e-05,-1.657950447e-06,5.5637299403e-06,-0.00056350569684,0.00014542548748,0.0024002241473
0.02681,-9.634555604128582,-3.5236063792346157,-10.012223607762806,73.18048901231553,-4.335150550621881,15.830121133507623,0.9797711620665128,74.9973695005991,-25.1087254080023,-137.17645299973844,-13.158524155846193,2.61612336e-05,-1.6569038689e-06,5.5602178462e-06,-0.00056750990062,0.00013748050847,0.0024087601238
0.026820000000000004,-9.633823758020675,-3.5236497839797445,-10.012065291475075,73.19583090277779,-4.346192550862634,15.833416852145726,0.9805211824218076,75.01371407569614,-25.186044246772067,-132.7497238545394,-13.196536574932455,2.6145174821999994e-05,-1.6558867971999995e-06,5.556804769399999e-06,-0.0005714316907200013,0.00012953105745999724,0.0024169465377000027
0.026830000000000003,-9.633091792869843,-3.523693300473184,-10.011906945462377,73.21108130140517,-4.357214048436486,15.83665631922404,0.981271332073737,75.02995638950065,-25.260821891900456,-128.30895666644994,-13.234028017350804,2.6129588541999993e-05,-1.6548996507999996e-06,5.553492115399999e-06,-0.0005752414750700013,0.00012155520744999723,0.0024246243763000027
0.026840000000000003,-9.63235951313894,-3.5237369330715045,-10.011748554983466,73.22626570009585,-4.3682161281416185,15.839842958390978,0.982021805249408,75.04612210670774,-25.333065582233747,-123.85413745008684,-13.270997003003316,2.6114481137999994e-05,-1.6539428336999997e-06,5.5502812401999995e-06,-0.0005789733341100013,0.00011358265696999724,0.0024319829009000027
0.026850000000000002,-9.631627190360238,-3.5237806656317816,-10.011590149323915,73.24135586163557,-4.379195187321418,15.842975609221282,0.9827723297825419,75.06218319634876,-25.402740330965425,-119.38748129388838,-13.307442072417736,2.6099858785999997e-05,-1.6530167369999997e-06,5.547173456299999e-06,-0.0005826088925900012,0.00010560110068999723,0.002438925373500002
0.026860000000000002,-9.630894748372246,-3.5238245099298178,-10.011431698967943,73.25637735862449,-4.390152791284634,15.84605676654957,0.9835229868805788,75.07816523889313,-25.469853098693132,-114.90906098509176,-13.343361786805128,2.6085727441999997e-05,-1.6521217379999997e-06,5.544170029399999e-06,-0.0005861302242800012,9.759835454299722e-05,0.002445355163700002
0.02687,-9.630161992251706,-3.523868474127895,-10.011273204292783,73.27133293276187,-4.401090014874495,15.849086990605107,0.9842739672696075,75.09407109371146,-25.534408360312355,-110.41878031098041,-13.37875472811667,2.6072092821e-05,-1.6512581985e-06,5.5412721742e-06,-0.00058958299182,8.9612733191e-05,0.0024515275282
0.02688,-9.62942925179297,-3.5239125345015543,-10.01111470914953,73.2862170433666,-4.412004225644713,15.852067056432654,0.9850249384121885,75.1098953495964,-25.59637756300063,-105.91893401016,-13.413619499099644,2.6058960432e-05,-1.6504264677e-06,5.5384810618e-06,-0.00059292573526,8.1613907684e-05,0.0024572169102
0.02689,-9.628696392572465,-3.5239567066181166,-10.010956184203952,73.30104015118634,-4.422896030205622,15.854998492030392,0.9857760385926323,75.12564857372638,-25.65576600730242,-101.40961393681553,-13.44795472335259,2.6046335547e-05,-1.6496268792e-06,5.5357978127e-06,-0.000596157996,7.3603586249e-05,0.0024624225262
0.026900000000000004,-9.627963354538027,-3.52400099046906,-10.010797629456052,73.31579464427807,-4.433765901268857,15.857881298489042,0.9865273264381372,75.14132336416904,-25.71257147853437,-96.89145435997987,-13.481759045379663,2.6034223199999995e-05,-1.6488597519999997e-06,5.533223496399999e-06,-0.0005993195995600011,6.561488146699722e-05,0.002467369672900002
