time_s,UR1_rad,UR2_rad,UR3_rad
1.110000000000000049e-02,-1.174623762214971195e-01,-4.421748345332583985e-01,2.587195711910703633e-01
1.119999999999999989e-02,-1.158123242575574002e-01,-4.462390403603878619e-01,2.498837124842066271e-01
1.130000000000000102e-02,-1.141251350408185733e-01,-4.501336992524792024e-01,2.409811143691367730e-01
1.140000000000000041e-02,-1.124014305954945531e-01,-4.538575399619217965e-01,2.320149756822349474e-01
1.149999999999999981e-02,-1.106418450578571383e-01,-4.574093532917527516e-01,2.229885136075771546e-01
1.160000000000000094e-02,-1.088470244212866034e-01,-4.607879923622334450e-01,2.139049624946445238e-01
1.170000000000000033e-02,-1.070176262784284793e-01,-4.639923728539053771e-01,2.047675726760436743e-01
1.179999999999999973e-02,-1.051543195605816883e-01,-4.670214732272815472e-01,1.955796092856816604e-01
1.190000000000000085e-02,-1.032577842744450969e-01,-4.698743349193266750e-01,1.863443510778380885e-01
1.200000000000000025e-02,-1.013287112363515097e-01,-4.725500625168941871e-01,1.770650892475788274e-01
1.210000000000000138e-02,-9.936780180410788310e-02,-4.750478239072954967e-01,1.677451262529121856e-01
1.220000000000000077e-02,-9.737576760656868613e-02,-4.773668504061857609e-01,1.583877746391153529e-01
1.230000000000000017e-02,-9.535333027106296377e-02,-4.795064368629533003e-01,1.489963558656302034e-01
1.240000000000000130e-02,-9.330122114879459139e-02,-4.814659417438100220e-01,1.395741991359208400e-01
1.250000000000000069e-02,-9.122018103833555436e-02,-4.832447871927901262e-01,1.301246402306803496e-01
1.260000000000000009e-02,-8.911095990732759153e-02,-4.848424590708623194e-01,1.206510203447559021e-01
1.270000000000000122e-02,-8.697431661251034396e-02,-4.862585069733726950e-01,1.111566849281664104e-01
1.280000000000000061e-02,-8.481101861818647614e-02,-4.874925442260398811e-01,1.016449825315597910e-01
1.290000000000000001e-02,-8.262184171323977422e-02,-4.885442478597258331e-01,9.211926365646408432e-02
1.300000000000000114e-02,-8.040756972681241399e-02,-4.894133585642168605e-01,8.258287961066004823e-02
1.310000000000000053e-02,-7.816899424275365604e-02,-4.900996806212457035e-01,7.303918136901187130e-02
1.319999999999999993e-02,-7.590691431294492586e-02,-4.906030818169941354e-01,6.349151844006961642e-02
1.330000000000000106e-02,-7.362213616960573692e-02,-4.909234933343222251e-01,5.394323773874799832e-02
1.340000000000000045e-02,-7.131547293668497045e-02,-4.910609096249625161e-01,4.439768246538823571e-02
1.349999999999999985e-02,-6.898774434043843107e-02,-4.910153882619357479e-01,3.485819099148868699e-02
1.360000000000000098e-02,-6.663977641928973961e-02,-4.907870497724314274e-01,2.532809575238180802e-02
1.370000000000000037e-02,-6.427240123307523256e-02,-4.903760774514125398e-01,1.581072214713534485e-02
1.380000000000000150e-02,-6.188645657176607140e-02,-4.897827171561972559e-01,6.309387445937903426e-03
1.390000000000000090e-02,-5.948278566376098697e-02,-4.890072770822705417e-01,-3.172600294780878339e-03
1.400000000000000029e-02,-5.706223688384083614e-02,-4.880501275205904599e-01,-1.263194330924930810e-02
1.410000000000000142e-02,-5.462566346087760483e-02,-4.869117005966460132e-01,-2.206535519102594683e-02
1.420000000000000082e-02,-5.217392318537938251e-02,-4.855924899915190496e-01,-3.146956195323594857e-02
1.430000000000000021e-02,-4.970787811696231184e-02,-4.840930506452237880e-01,-4.084130308013535215e-02
1.440000000000000134e-02,-4.722839429183092741e-02,-4.824139984425723782e-01,-5.017733256979772793e-02
1.450000000000000074e-02,-4.473634143034659755e-02,-4.805560098818314474e-01,-5.947441996772534489e-02
1.460000000000000013e-02,-4.223259264476720426e-02,-4.785198217264316489e-01,-6.872935139118026282e-02
1.470000000000000126e-02,-3.971802414723383384e-02,-4.763062306399864498e-01,-7.793893054405054421e-02
1.480000000000000066e-02,-3.719351495807907138e-02,-4.739160928048776200e-01,-8.709997972207809969e-02
1.490000000000000005e-02,-3.465994661453349057e-02,-4.713503235246701562e-01,-9.620934080826369639e-02
1.500000000000000118e-02,-3.211820287990070633e-02,-4.686098968106076068e-01,-1.052638762582903259e-01
1.510000000000000057e-02,-2.956916945327037888e-02,-4.656958449524443711e-01,-1.142604700758067388e-01
