region,parameter,x_mm,radius_mm
HEAD,0.0815,0.001097750858163151,0.039495838321724
HEAD,0.082,0.0011154811729979443,0.03974233273896278
HEAD,0.0825,0.0011333909394080648,0.03998891348792474
HEAD,0.083,0.001151480868309769,0.040235581076230306
HEAD,0.0835,0.0011697516679638716,0.040482336008422874
HEAD,0.084,0.0011882040439783318,0.04072917878597305
HEAD,0.0845,0.0012068386993108315,0.04097610990728258
HEAD,0.085,0.0012256563342713611,0.04122312986768845
HEAD,0.0855,0.0012446576465248002,0.04147023915946687
HEAD,0.086,0.0012638433310935007,0.041717438271837395
HEAD,0.0865,0.0012832140803598715,0.041964727690966916
HEAD,0.087,0.0013027705840689566,0.04221210789997372
HEAD,0.0875,0.0013225135293310208,0.04245957937893153
HEAD,0.088,0.001342443600624133,0.04270714260487356
HEAD,0.0885,0.0013625614797967444,0.04295479805179653
HEAD,0.089,0.0013828678460702773,0.04320254619066478
HEAD,0.0895,0.0014033633760417018,0.0434503874894142
HEAD,0.09,0.001424048743686123,0.043698322412956396
HEAD,0.0905,0.0014449246203593596,0.04394635142318265
HEAD,0.091,0.0014659916748005293,0.04419447497896804
HEAD,0.0915,0.00148725057313463,0.04444269353617534
HEAD,0.092,0.0015087019788751243,0.04469100754765927
HEAD,0.0925,0.0015303465529265176,0.044939417463270355
HEAD,0.093,0.0015521849535869462,0.0451879237298591
HEAD,0.0935,0.0015742178365507555,0.04543652679127994
HEAD,0.094,0.0015964458549110859,0.04568522708839535
HEAD,0.0945,0.0016188696591624516,0.04593402505907985
HEAD,0.095,0.0016414898972033274,0.04618292113822407
HEAD,0.0955,0.001664307214338728,0.046431915757738786
HEAD,0.096,0.001687322253282792,0.04668100934655897
HEAD,0.0965,0.0017105356541613642,0.046930202330647826
HEAD,0.097,0.0017339480545145783,0.04717949513300085
HEAD,0.0975,0.0017575600892994387,0.04742888817364983
HEAD,0.098,0.0017813723908924046,0.047678381869666976
HEAD,0.0985,0.0018053855890919704,0.047927976635168845
HEAD,0.099,0.0018296003111212507,0.04817767288132052
HEAD,0.0995,0.0018540171816305608,0.048427471016339534
HEAD,0.1,0.0018786368227000005,0.04867737144550001
HEAD,0.1005,0.0019034598538420358,0.04892737457113659
HEAD,0.101,0.0019284868920040822,0.04917748079264868
HEAD,0.1015,0.001953718551571087,0.049427690506504196
HEAD,0.102,0.001979155444368112,0.049678004106243914
HEAD,0.1025,0.002004798179662915,0.04992842198248531
HEAD,0.103,0.0020306473641685356,0.05017894452292672
HEAD,0.1035,0.002056703602045872,0.05042957211235125
HEAD,0.104,0.0020829674949062694,0.05068030513263105
HEAD,0.1045,0.0021094396418140982,0.050931143962731046
HEAD,0.105,0.002136120639289341,0.05118208897871327
HEAD,0.1055,0.0021630110813101715,0.05143314055374075
HEAD,0.106,0.0021901115593155364,0.05168429905808161
HEAD,0.1065,0.002217422662207742,0.05193556485911305
HEAD,0.107,0.0022449449763550337,0.05218693832132548
HEAD,0.1075,0.00227267908559418,0.0524384198063265
HEAD,0.108,0.0023006255712330536,0.052690009672845
HEAD,0.1085,0.002328785012053214,0.052941708276735076
HEAD,0.109,0.002357157984312494,0.053193515970980314
HEAD,0.1095,0.002385745061747575,0.05344543310569753
HEAD,0.11,0.0024145468155765777,0.05369746002814111
HEAD,0.1105,0.002443563814501635,0.0539495970827068
HEAD,0.111,0.0024727966247114885,0.05420184461093595
HEAD,0.1115,0.0025022458098840536,0.05445420295151942
HEAD,0.112,0.0025319119311890187,0.05470667244030174
HEAD,0.1125,0.0025617955472904148,0.054959253410285014
HEAD,0.113,0.0025918972143492073,0.055211946191633124
HEAD,0.1135,0.002622217486025872,0.05546475111167559
HEAD,0.114,0.0026527569134829837,0.05571766849491187
HEAD,0.1145,0.0026835160453877916,0.055970698663015093
HEAD,0.115,0.002714495427914808,0.056223841934836406
HEAD,0.1155,0.002745695604748389,0.05647709862640873
HEAD,0.116,0.0027771171170853162,0.056730469050951055
HEAD,0.1165,0.0028087605036373775,0.05698395351887233
HEAD,0.117,0.002840626300633954,0.05723755233777562
HEAD,0.1175,0.002872715041824602,0.05749126581246197
HEAD,0.118,0.0029050272584816316,0.05774509424493466
HEAD,0.1185,0.0029375634794026905,0.057999037934403135
HEAD,0.119,0.002970324230913352,0.05825309717728707
HEAD,0.1195,0.0030033100368696904,0.05850727226722042
HEAD,0.12,0.003036521418660864,0.05876156349505536
HEAD,0.1205,0.0030699588952117045,0.059015971148866565
HEAD,0.121,0.003103622982985295,0.059270495513955086
HEAD,0.1215,0.00313751419598555,0.05952513687285236
HEAD,0.122,0.003171633045759801,0.05977989550532431
HEAD,0.1225,0.00320598004140138,0.06003477168837551
HEAD,0.123,0.0032405556895522014,0.06028976569625306
HEAD,0.1235,0.003275360494405342,0.06054487780045065
HEAD,0.124,0.003310394957707625,0.060800108269712626
HEAD,0.1245,0.0033456595787622065,0.06105545737003814
HEAD,0.125,0.0033811548544311525,0.06131092536468506
HEAD,0.1255,0.0034168812791380222,0.06156651251417405
HEAD,0.126,0.003452839344870454,0.061822219076292595
HEAD,0.1265,0.0034890295411827456,0.06207804530609911
HEAD,0.127,0.003525452355198436,0.062333991455927
HEAD,0.1275,0.0035621082716128924,0.06259005777538858
HEAD,0.128,0.0035989977726958804,0.06284624451137912
HEAD,0.1285,0.0036361213382941665,0.0631025519080811
HEAD,0.129,0.0036734794458340866,0.06335898020696812
HEAD,0.1295,0.0037110725703241253,0.0636155296468088
HEAD,0.13,0.0037489011843575113,0.06387220046367102
HEAD,0.1305,0.0037869657581147916,0.06412899289092595
HEAD,0.131,0.0038252667593664177,0.06438590715925212
HEAD,0.1315,0.003863804653475323,0.06464294349663918
HEAD,0.132,0.003902579903399509,0.06490010212839234
HEAD,0.1325,0.003941592969694631,0.06515738327713613
HEAD,0.133,0.003980844310516573,0.06541478716281869
HEAD,0.1335,0.004020334381624041,0.0656723140027155
HEAD,0.134,0.004060063636381128,0.06592996401143368
HEAD,0.1345,0.004100032525759921,0.066187737400916
HEAD,0.135,0.00414024149834306,0.06644563438044479
HEAD,0.1355,0.004180691000326335,0.0667036551566461
HEAD,0.136,0.004221381475521263,0.0669617999334937
HEAD,0.1365,0.004262313365357673,0.06722006891231315
HEAD,0.137,0.004303487108886286,0.06747846229178593
HEAD,0.1375,0.004344903142781304,0.06773698026795323
HEAD,0.138,0.004386561901342977,0.06799562303422016
HEAD,0.1385,0.004428463816500206,0.06825439078135992
HEAD,0.139,0.004470609317813111,0.06851328369751762
HEAD,0.1395,0.004512998832475621,0.06877230196821442
HEAD,0.14,0.004555632785318049,0.06903144577635152
HEAD,0.1405,0.004598511598809685,0.06929071530221437
HEAD,0.141,0.004641635693061369,0.06955011072347653
HEAD,0.1415,0.004685005485828079,0.0698096322152038
HEAD,0.142,0.004728621392511513,0.07006927994985816
HEAD,0.1425,0.004772483826162667,0.07032905409730204
HEAD,0.143,0.0048165931974844265,0.0705889548248021
HEAD,0.1435,0.004860949914834138,0.07084898229703349
HEAD,0.144,0.004905554384226199,0.07110913667608373
HEAD,0.1445,0.004950407009334644,0.07136941812145692
HEAD,0.145,0.004995508191495711,0.07162982679007757
HEAD,0.1455,0.005040858329710448,0.0718903628362949
HEAD,0.146,0.0050864578206472714,0.07215102641188656
HEAD,0.1465,0.005132307058644567,0.0724118176660631
HEAD,0.147,0.005178406435713257,0.07267273674547159
HEAD,0.1475,0.005224756341539402,0.07293378379419996
HEAD,0.148,0.005271357163486763,0.07319495895378084
HEAD,0.1485,0.005318209286599398,0.07345626236319584
HEAD,0.149,0.005365313093604237,0.07371769415887933
HEAD,0.1495,0.00541266896491367,0.07397925447472266
HEAD,0.15,0.005460277278628124,0.0742409434420781
HEAD,0.1505,0.0055081384105386535,0.0745027611897631
HEAD,0.151,0.005556252734129511,0.07476470784406394
HEAD,0.1515,0.0056046206205807424,0.07502678352874025
HEAD,0.152,0.00565324243877076,0.07528898836502855
