time_s,CF_vs_telemetry_plus_hydro_error_N,CF_x_N,Fmag_plus_hydro_x_N,CF_y_N,Fmag_plus_hydro_y_N,CF_z_N,Fmag_plus_hydro_z_N
0.0020500998944044113,1.9055084966639846e-09,-2.6345103378844215e-06,-2.6333078491771424e-06,-5.530695034394739e-06,-5.52937959842965e-06,-2.3428738131769933e-06,-2.3435480622121976e-06
0.002100100042298436,1.908954157001208e-09,-2.50737775786547e-06,-2.506173118237223e-06,-5.418131422629813e-06,-5.416813504292974e-06,-2.382281991231139e-06,-2.3829572990106088e-06
0.00215000007301569,8.356904034082363e-09,-4.7416942834388465e-06,-4.746967980371663e-06,-3.8194016269699205e-06,-3.825171019240511e-06,1.7456233081247774e-06,1.748579670505088e-06
0.002200100105255842,2.047121093873971e-09,-4.67119070890476e-06,-4.669898783380926e-06,-3.834213657682994e-06,-3.832800534343748e-06,1.6963512052825536e-06,1.6956268326975332e-06
0.0022501000203192234,2.0848511255977698e-09,-4.566501047520433e-06,-4.565185207506752e-06,-3.806019549301709e-06,-3.804580389727475e-06,1.625710069674824e-06,1.6249725135791988e-06
0.002300000051036477,2.1791568399204254e-09,-4.42828968516551e-06,-4.42691449707931e-06,-3.735173095265054e-06,-3.7336687199340813e-06,1.5344594430644065e-06,1.5336884455779604e-06
0.0023499999660998583,9.25150316054604e-09,-4.315143087296747e-06,-4.309304970877651e-06,-3.6855926737189293e-06,-3.6792055774025046e-06,1.4555749885403202e-06,1.4523021139549756e-06
0.0024000999983400106,2.1675241640059194e-09,-4.1063826756726485e-06,-4.105014701395889e-06,-3.5246141578682e-06,-3.5231178628201587e-06,1.3214034879638348e-06,1.3206367360424929e-06
0.0024500000290572643,2.2584981294427054e-09,-3.8656630749756005e-06,-3.864237677092015e-06,-3.3207684282388072e-06,-3.3192093729704952e-06,1.16757064461126e-06,1.1667716443956682e-06
0.0024999999441206455,2.279994231361608e-09,-3.592410848796135e-06,-3.5909720636644296e-06,-3.0729552236152813e-06,-3.0713811470197433e-06,9.933149840435362e-07,9.92508414820713e-07
0.002550099976360798,2.2385408752199307e-09,-3.287345407443354e-06,-3.2859328022114155e-06,-2.7809280709334416e-06,-2.7793825992747628e-06,7.985425440892868e-07,7.977506292826623e-07
0.002600099891424179,2.23817362143176e-09,-2.952752311102813e-06,-2.9513398914486327e-06,-2.4459291125822347e-06,-2.4443839198468585e-06,5.840133781020995e-07,5.832216260634545e-07
0.0026499999221414328,2.113211004088264e-08,-5.135427727509523e-06,-5.1487633441256105e-06,-5.662588591803797e-06,-5.677177555494001e-06,3.5155410387233132e-06,3.5230169696148206e-06
0.002700099954381585,5.8387294307834495e-09,-5.16511317982804e-06,-5.161428471017719e-06,-5.725722985516768e-06,-5.721692238485875e-06,3.53411473952292e-06,3.532049125637901e-06
0.00275010010227561,2.168854666117498e-09,-5.1416250244074035e-06,-5.14025623956827e-06,-5.714434792025713e-06,-5.7129376047187596e-06,3.5113951071252814e-06,3.5106277813829823e-06
0.00279999990016222,2.250904674840302e-09,-5.094547759654233e-06,-5.093127179883994e-06,-5.6607423175591975e-06,-5.6591884302387105e-06,3.464625024207635e-06,3.4638288086797563e-06
