time_s,speed_mm_s,Fwall_norm_N,residual_norm_Ns,Vcom_x,Vcom_y,Vcom_z,P_x,P_y,P_z,Jmag_x,Jmag_y,Jmag_z,Jhydro_x,Jhydro_y,Jhydro_z,Jwall_x,Jwall_y,Jwall_z
0.0002625,0.012351425847623769,0.0,2.4150641930694932e-18,-0.007794704759749506,-0.008526923137204668,0.004369425590382634,-7.794683389727498e-11,-8.526899759727172e-11,4.369413611132116e-11,-7.795030034979804e-11,-8.527626399832531e-11,4.3698372868107977e-11,3.467369287685468e-15,7.265407513985068e-15,-4.238758025613491e-15,0.0,0.0,0.0
0.0002626,0.012364809538710799,0.0,1.78739897986422e-18,-0.007803150924185122,-0.00853616278846987,0.004374159968693961,-7.803129531007044e-11,-8.536139385660875e-11,4.374147976463635e-11,-7.803476674499114e-11,-8.53686687560126e-11,4.3745724116472767e-11,3.472507652275468e-15,7.276157644235068e-15,-4.245030712843491e-15,0.0,0.0,0.0
0.0002627,0.01237820176702348,0.0,3.0667072912991432e-18,-0.007811602676556191,-0.008545408027670518,0.004378897606634301,-7.811581260206726e-11,-8.545384599514706e-11,4.378885601415231e-11,-7.811929024085786e-11,-8.546113598083722e-11,4.379310737506093e-11,3.477651610930468e-15,7.286919428885069e-15,-4.251310203043491e-15,0.0,0.0,0.0
0.0002628,0.01239160411232471,0.0,5.2232083701473865e-18,-0.007820060482523998,-0.008554660717451767,0.004383638504203653,-7.820039042986548e-11,-8.55463726392871e-11,4.383626485986902e-11,-7.820387085045283e-11,-8.555366568708073e-11,4.3840522651190814e-11,3.482801167495468e-15,7.297692875835068e-15,-4.257596500828491e-15,0.0,0.0,0.0
0.0002629,0.012405014058035997,0.0,3.750363041369525e-18,-0.007828523410765972,-0.008563918063845889,0.0043883826614020205,-7.828501948026492e-11,-8.563894584942821e-11,4.388370630178652e-11,-7.828850858682328e-11,-8.564625788901655e-11,4.3887969952176586e-11,3.487956325815468e-15,7.308477992985069e-15,-4.263889610808491e-15,0.0,0.0,0.0
0.000263,0.01241843441460412,0.0,3.6069494202775846e-18,-0.007836992858265971,-0.008573182860820611,0.0043931300782294,-7.83697137230659e-11,-8.573159356517104e-11,4.393118033990477e-11,-7.837320346300898e-11,-8.573891260091e-11,4.393544928532826e-11,3.493117089745468e-15,7.319274788235069e-15,-4.270189537593491e-15,0.0,0.0,0.0
0.0002631,0.012431862555929546,0.0,4.1583902091645666e-18,-0.007845466962378849,-0.008582453245730782,0.0043978802890245056,-7.845445453186799e-11,-8.582429716011517e-11,4.397868231762369e-11,-7.845795549204228e-11,-8.58316298370182e-11,4.398296065795167e-11,3.4982834631354684e-15,7.330083269485069e-15,-4.276496285803491e-15,0.0,0.0,0.0
0.0002632,0.012445300629896275,0.0,2.8614590034172115e-18,-0.007853947585749753,-0.008591730149898976,0.004402634225109912,-7.85392605330716e-11,-8.591706594746081e-11,4.4026221548143484e-11,-7.854276468694809e-11,-8.59244096115902e-11,4.4030504077348485e-11,3.5034554498304686e-15,7.34090344458507e-15,-4.282809860053491e-15,0.0,0.0,0.0
0.0002633,0.01245874771930419,0.0,1.7246293806257087e-18,-0.007862433797056109,-0.008601013573325194,0.004407390955163045,-7.862412241347655e-11,-8.600989992720794e-11,4.407378871826393e-11,-7.862763106074387e-11,-8.601725193886685e-11,4.4078079550816204e-11,3.508633053685469e-15,7.35173532148507e-15,-4.289130264958491e-15,0.0,0.0,0.0
0.0002634,0.012472203510669529,0.0,4.7600773766978704e-18,-0.007870925596297918,-0.008610302584686862,0.004412151410506478,-7.870904017308283e-11,-8.610278978615638e-11,4.412139314118526e-11,-7.871255462643965e-11,-8.611015683308092e-11,4.412568708564815e-11,3.513816278555469e-15,7.362578908085071e-15,-4.295457505138491e-15,0.0,0.0,0.0
