time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Fwall_norm_N,omega_norm_rad_s,Vcom_norm_mm_s
0.0010075,2.0482118271464397e-06,3.075245045168963e-07,2.355736331663336e-06,-6.720284412523568e-12,2.263928435384483e-07,-1.359793281581319e-11,-5.608913528002931e-11,-1.951167735893903e-07,0.0,608.9177850327987,640.033974497448
0.0010076,2.0482111876051904e-06,3.074086676653293e-07,2.3556198552705195e-06,-6.935479428141923e-12,2.2627706938744303e-07,-1.4071361450443794e-11,-5.613746231737464e-11,-1.951167388805136e-07,0.0,608.894566134889,640.0338745741504
0.0010077,2.0482104221880172e-06,3.0729305909177536e-07,2.3555034812797927e-06,-7.1506926386879715e-12,2.2616147860923932e-07,-1.4544792292880131e-11,-5.618577901035249e-11,-1.9511678513229072e-07,0.0,608.8714105651555,640.0337549837078
0.0010077999999999999,2.0482098101788217e-06,3.0717758175409706e-07,2.3553873919329187e-06,-7.365924031410315e-12,2.2604607120952755e-07,-1.501822534327007e-11,-5.6234085375142094e-11,-1.9511673010864506e-07,0.0,608.8482546362635,640.033659362045
0.0010079,2.048209170637917e-06,3.0706231268348313e-07,2.3552714833214004e-06,-7.58117359575888e-12,2.2593084719407813e-07,-1.5491660606081734e-11,-5.6282381428188115e-11,-1.9511667772383357e-07,0.0,608.8251808429243,640.0335594387521
0.001008,2.0482084052211536e-06,3.0694721437596376e-07,2.3551556195971175e-06,-7.796441311226027e-12,2.2581580656096872e-07,-1.596509806867961e-11,-5.633066718751523e-11,-1.9511676382406986e-07,0.0,608.8021487269651,640.0334398483147
0.0010081,2.0482077932122774e-06,3.0683234152834455e-07,2.355040134740622e-06,-8.011727165061366e-12,2.2570094930810418e-07,-1.6438537731191223e-11,-5.6378942670654246e-11,-1.9511665442670185e-07,0.0,608.7791611421585,640.0333442266547
0.0010082,2.048207027795793e-06,3.0671758301693103e-07,2.354924610812724e-06,-8.22703114266106e-12,2.2558627544124348e-07,-1.6911979591322897e-11,-5.64272078940507e-11,-1.9511676747667752e-07,0.0,608.7562108421284,640.0332246362206
0.0010083,2.048206388255363e-06,3.066030506005318e-07,2.354809438855895e-06,-8.44235322757092e-12,2.254717849697853e-07,-1.7385423643772006e-11,-5.64754628741692e-11,-1.9511671194093142e-07,0.0,608.7333066423543,640.0331247129341
0.0010084,2.048205776246806e-06,3.064886988390047e-07,2.3546944750858104e-06,-8.657693411094079e-12,2.2535747789162183e-07,-1.7858869895217624e-11,-5.6523707628541024e-11,-1.9511663160166267e-07,0.0,608.7104425815714,640.0330290912768
