event,start_s,end_s,duration_us,peak_force_N,contact_impulse_Ns,bridge_fraction,restitution_status
133,0.010670778341591358,0.01070447824895382,33.83960574865341,0.097646919694555,1.1486425485501507e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
134,0.01072807889431715,0.010729578323662281,1.601874828338623,0.04270594049571492,3.787013364527423e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
135,0.010742578655481339,0.01074407808482647,1.601874828338623,0.024311101165994282,2.2152526049065923e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
136,0.010751278139650822,0.010769478045403957,18.321443349123,0.0755891151313519,5.258978940592887e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
137,0.010794678702950478,0.010796178132295609,1.601874828338623,0.048005440055201645,4.222662381210745e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
138,0.010805577971041203,0.010806978680193424,1.501757651567459,0.05773772362794382,4.583061162615893e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
139,0.010818677954375744,0.010824178345501423,5.606561899185181,0.02975353696697955,1.018611257134561e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
140,0.01082947850227356,0.011924776248633862,1096.6835543513298,0.04116046175686729,4.309342464410793e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
141,0.011938775889575481,0.011940175667405128,1.501757651567459,0.03146568193859738,2.4876632340077985e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
142,0.011947776190936565,0.011958075687289238,10.41218638420105,0.031345715444687346,2.013953354314065e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
143,0.011965176090598106,0.012144575826823711,179.71033230423927,0.09249131450248356,1.3813429569467318e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
144,0.012183175422251225,0.01218467578291893,1.601874828338623,0.07538544675568952,6.627858423196455e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
145,0.012206675484776497,0.012208875268697739,2.3026950657367706,0.05672324013431249,5.2887542769803795e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
146,0.012231575325131416,0.012233075685799122,1.601874828338623,0.04511696810515399,4.0080685518866684e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
147,0.012242775410413742,0.012244075536727905,1.4016404747962952,0.05441859936996396,4.325686576709561e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
148,0.012252075597643852,0.012253575026988983,1.601874828338623,0.02379130636316771,2.2013675364760707e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
149,0.012260175310075283,0.012263474985957146,3.403984010219574,0.02696719128287179,8.29123577829254e-09,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
150,0.012270275503396988,0.012987273745238781,717.9402746260166,0.11066136579574777,1.7923316870734605e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
151,0.013031573966145515,0.013032973743975163,1.501757651567459,0.09075158995571157,7.745679482510763e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
152,0.013059173710644245,0.01310617383569479,47.155190259218216,0.12377582341484042,6.739366601675731e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
153,0.0131197739392519,0.01312127336859703,1.601874828338623,0.0290406844188959,2.6649796169055502e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
154,0.01312827318906784,0.01356207299977541,434.40843001008034,0.09350141905528314,2.8606180394037263e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
155,0.01359467301517725,0.01359617244452238,1.601874828338623,0.0654342629311316,5.624779414515347e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
156,0.013614772818982601,0.013616272248327732,1.601874828338623,0.03679081023468618,3.210138116887755e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
157,0.013626473024487495,0.013628572225570679,2.2025778889656067,0.06585555286730851,7.438374190438843e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
158,0.01364437211304903,0.013645872473716736,1.601874828338623,0.033613954865692096,2.89642643989458e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
159,0.013654972426593304,0.013667172752320766,12.314412742853165,0.040681022640365126,2.6687694883838827e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
160,0.013676072470843792,0.013690072111785412,14.116521924734116,0.022527698046297156,1.7954536589109097e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
161,0.013695872388780117,0.013920271769165993,224.76306185126305,0.08364704166696572,2.3634370896801995e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
162,0.013952472247183323,0.01395387202501297,1.501757651567459,0.06599635982907903,5.165152834290966e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
163,0.0139705715700984,0.013971972279250622,1.501757651567459,0.03406550250006331,2.679706742388551e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
164,0.013980171643197536,0.013983171433210373,3.103632479906082,0.058513348872958455,6.600147552441534e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
