time_s,Tmag_t_Nmm,Tmag_e1_Nmm,Tmag_e2_Nmm,Tmag_norm_Nmm,Thydro_t_Nmm,Thydro_e1_Nmm,Thydro_e2_Nmm,Thydro_norm_Nmm,Tcontact_inferred_t_Nmm,Tcontact_inferred_e1_Nmm,Tcontact_inferred_e2_Nmm,Tcontact_inferred_norm_Nmm,omega_spin_rad_s,omega_wobble_rad_s,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge
0.021509956568479538,4.707391071595582e-05,-0.0024527284941027474,-0.0015281333393868356,0.002890204927301728,-4.767023188467722e-08,-9.388370052131834e-08,1.443987717220027e-07,1.7871095519396264e-07,-4.7026289497903636e-05,0.0024528223649160448,0.0015279888916234468,0.00289020744561025,2.1889854275708487,59.565849508605375,-2.680982920811598,-2.278916914809052,1,1
0.02151995711028576,4.642006222334735e-05,-0.002450799823977889,-0.0015320023288360165,0.0028906064649041815,-4.7036310676674635e-08,-9.384905615777864e-08,1.4479782316095327e-07,1.788476151809949e-07,-4.6373073510939447e-05,0.002450893662521446,0.001531857478098066,0.002890608506896014,1.4887327688613858,59.613806315383165,-2.6097949660919584,-2.2418960781241997,1,1
0.02152995765209198,4.576235332892986e-05,-0.002448849752940549,-0.001535852562726324,0.002890986406037255,-4.641255407057609e-08,-9.382941831516898e-08,1.4522085108619867e-07,1.7901726315335346e-07,-4.5715986964203065e-05,0.002448943574193545,0.0015357072850264934,0.0028909879706306993,0.7912078288829356,59.67183822754481,-2.539756376215734,-2.2050582283742854,1,1
0.021539956331253052,4.5100412867291745e-05,-0.0024468791465211835,-0.0015396824744466943,0.002891344622669413,-4.579890503440921e-08,-9.382470600867359e-08,1.4566771405141842e-07,1.792196922130229e-07,-4.505465875094909e-05,0.0024469729654027165,0.001539536745979237,0.002891345708819211,0.09641707680788869,59.73988875922199,-2.4707399419699803,-2.1682855201103113,1,1
0.021549956873059273,4.443350200378746e-05,-0.002444887766672774,-0.0015434926408288863,0.0028916811822916155,-4.519524236652304e-08,-9.3834858733515e-08,1.4613843362553536e-07,1.794548200206182e-07,-4.43883501595604e-05,0.002444981598038478,0.001543346437753636,0.002891681788735323,-0.5957577036329589,59.81794370457287,-2.402738193625976,-2.131589693593683,1,1
0.021559957414865494,4.3761252326565644e-05,-0.0024428764702113886,-0.0015472814954415157,0.0028919959408777486,-4.460145379152738e-08,-9.385981553898989e-08,1.4663301179294717e-07,1.797225495056242e-07,-4.371669289044478e-05,0.0024429703288568025,0.001547134793905396,0.0028919960662878996,-1.285425220272419,59.90598419635426,-2.3357559630948135,-2.0950125070039376,1,1
0.021569956094026566,4.308330077421053e-05,-0.0024408461262652764,-0.0015510474886479642,0.0028922887641020497,-4.401742953555476e-08,-9.389952490970737e-08,1.4715145326531303e-07,1.8002279044409872e-07,-4.303932399181971e-05,0.0024409400269330334,0.001550900264793417,0.0028922884070973634,-1.9726825226641687,60.0039939438707,-2.269749606472764,-2.0585436825635117,1,1
0.021579956635832787,4.2398906906511744e-05,-0.0024387964660621316,-0.0015547911762965841,0.002892559674764503,-4.344305641875381e-08,-9.39539238061755e-08,1.4769373184917782e-07,1.8035541959452312e-07,-4.235550313789343e-05,0.0024388904234311074,0.0015546434062926474,0.0028925588337800905,-2.6576227764633913,60.11194595483637,-2.2046815793976813,-2.0221461809652075,1,1
0.021589957177639008,4.170770967883485e-05,-0.0024367283493750788,-0.0015585110066374096,0.0028928085210578325,-4.28782182826104e-08,-9.402294986867624e-08,1.4825981984485463e-07,1.8072031121467098e-07,-4.166486939974711e-05,0.002436822378060999,0.0015583626666823705,0.002892807194486067,-3.3403403993563767,60.22981267292797,-2.140507723124863,-1.9858101529604846,1,1
0.02159995585680008,4.1009354902795574e-05,-0.002434642646924307,-0.0015622054471114753,0.0028930351612790513,-4.2322811094484855e-08,-9.410654333721322e-08,1.488496871397114e-07,1.811173409682469e-07,-4.096706869357234e-05,0.002434736761483372,0.0015620565134336292,0.0028930333474739465,-4.020931152370128,60.35756724358605,-2.077250718214464,-1.9495941184878742,1,1
0.0216099563986063,4.030309987983615e-05,-0.002432539060068906,-0.001565875030718872,0.002893239573635351,-4.177671061730814e-08,-9.420462674620086e-08,1.4946327998392403e-07,1.8154635031844122e-07,-4.02613584454424e-05,0.0024326332749800396,0.0015657254796003618,0.0028932372707736517,-4.699482095270101,60.49517169161557,-2.0148308050438324,-1.9134204529056564,1,1
0.02161995694041252,3.95885930048473e-05,-0.002430418449960038,-0.001569518223361066,0.0028934215994328816,-4.1239815531607276e-08,-9.43171412246902e-08,1.501005653660717e-07,1.8200721204692276e-07,-3.95473871516936e-05,0.0024305127796413126,0.001569368031120246,0.002893418805657505,-5.3760915435044705,60.64259859282029,-1.9532981291306826,-1.8773920037658345,1,1
0.021629955619573593,3.8865491051382826e-05,-0.002428281687360125,-0.0015731335125847088,0.002893581090617698,-4.0711994869388356e-08,-9.444400734294902e-08,1.507614806568799e-07,1.8249975643571384e-07,-3.882481171617886e-05,0.0024283761461514272,0.0015729826556009662,0.002893577804038371,-6.050842040995905,60.79980666059336,-1.8925332087813487,-1.8413888625001784,1,1
0.021639956161379814,3.8133048672457506e-05,-0.0024261284446591416,-0.0015767214072359174,0.002893717981321133,-4.019313959681628e-08,-9.45851555893718e-08,1.5144597359102274e-07,1.8302383190570452e-07,-3.809288690218682e-05,0.002426223046829386,0.0015765698619435373,0.002893714199880022,-6.723829649592851,60.9667606708687,-1.8325693316500202,-1.8054673397729983,1,1
0.021649956703186035,3.739092578795341e-05,-0.002423959582827224,-0.0015802803938903857,0.0028938321070555496,-3.96831305216939e-08,-9.47405083294482e-08,1.521539770055982e-07,1.8357926757982266e-07,-3.735127274894917e-05,0.0024240543425670144,0.001580128136792081,0.002893827828668454,-7.3951411651063435,61.14341917191478,-1.7733676813527413,-1.769629455720221,1,1
0.021659957244992256,3.663865120698191e-05,-0.0024217755630816635,-0.0015838096379918356,0.00289392332968543,-3.918184535393256e-08,-9.490998741643589e-08,1.528854219283495e-07,1.8416588977043754e-07,-3.659949818751271e-05,0.0024218704945042323,0.0015836566456585155,0.002893918552198063,-8.064865913760855,61.32973983379607,-1.7148870269110397,-1.7338414963262954,1,1
0.021669955924153328,3.587589952693687e-05,-0.0024195772538504164,-0.0015873076585610755,0.002893991494535503,-3.868916578869883e-08,-9.509350937833371e-08,1.5364022869402714e-07,1.8478351373557548e-07,-3.583723793446448e-05,0.0024196723709843443,0.0015871539076453144,0.0028939862157725564,-8.733093358232109,61.52567668945852,-1.6571291502078336,-1.6981297754470448,1,1
0.02167995646595955,3.5101921277146884e-05,-0.002417364290229252,-0.0015907749302062758,0.002894036477849874,-3.82049763756324e-08,-9.529099166998945e-08,1.5441831691788403e-07,1.8543195494052445e-07,-3.506374263393484e-05,0.0024174596070203266,0.0015906203974415433,0.0028940306954798292,-9.399912772685541,61.731183865504576,-1.6001008317200787,-1.6625338883587355,1,1
0.02168995700776577,3.431639494261752e-05,-0.002415137530543857,-0.0015942099717209802,0.0028940581093575067,-3.772914706982983e-08,-9.55023487595729e-08,1.552195980450166e-07,1.8611101733768602e-07,-3.427869090232234e-05,0.0024152330608518944,0.0015940546339304322,0.002894051821035185,-10.065409486515035,61.946211709422414,-1.5437340496126677,-1.6270071781744087,1,1
0.021699955686926842,3.3519010855041396e-05,-0.00241289783969911,-0.0015976113291884776,0.0028940562309783665,-3.726155133215608e-08,-9.572749525635955e-08,1.5604398466347158e-07,1.8682050665114092e-07,-3.348177319677901e-05,0.0024129935972975066,0.001597455163284484,0.0028940494343461754,-10.72966752191741,62.17071116446509,-1.4879770687774292,-1.5915055332064914,1,1
0.021709956228733063,3.27090160205833e-05,-0.002410644825770029,-0.0016009794500196932,0.0028940306762586685,-3.6802074110876015e-08,-9.596633780864852e-08,1.5689137335588537e-07,1.8756021349092635e-07,-3.267223663993412e-05,0.0024107408243399632,0.0016008224330165848,0.0028940233688129614,-11.392778055153528,62.40462793820119,-1.4545131712705155,-1.5561175734185602,1,1
0.021719956770539284,3.188610520632811e-05,-0.002408379343319661,-0.0016043128806165357,0.0028939812722175995,-3.6350586535342775e-08,-9.621877444417882e-08,1.5776164481366963e-07,1.8832990806379548e-07,-3.184977612715141e-05,0.0024084755964386634,0.0016041549896506535,0.0028939734514506197,-12.054825454792255,62.64790096206304,-1.5033034346573986,-1.5208434429232873,1,1
0.021729955449700356,3.104998646759549e-05,-0.0024061022522338608,-0.001607610197044853,0.0028939078588488417,-3.5906959105861094e-08,-9.648472267828408e-08,1.5865471046081024e-07,1.8912939637702782e-07,-3.101409984375781e-05,0.0024061987733968474,0.0016074514093416471,0.0028938995222502215,-12.715892983589578,62.90048104353133,-1.5525596625055025,-1.4856206973159751,1,1
0.021739955991506577,3.019990293282389e-05,-0.0024038131343394175,-0.001610871818225108,0.002893810227660361,-3.5471062792101974e-08,-9.676407012924277e-08,1.5957042858896997e-07,1.8995842503991713e-07,-3.016445104757682e-05,0.0024039099369287417,0.001610712111152373,0.0028938013725867025,-13.37606610742398,63.16229896872875,-1.602297828838967,-1.4505048886948695,1,1
0.021749956533312798,2.933556763210287e-05,-0.0024015128389363407,-0.0016140963210767739,0.0028936882044923147,-3.504277768059253e-08,-9.705673400302488e-08,1.6050870479409972e-07,1.908167974723001e-07,-2.9300542888592548e-05,0.00240160993624992,0.0016139356720992076,0.0028936788283052822,-14.035433656887676,63.43330425612216,-1.6525352034956677,-1.4155178026641284,1,1
0.02175995707511902,2.8456543026531103e-05,-0.0023992017878886355,-0.0016172829040705552,0.00289354159908717,-3.4621958775278103e-08,-9.736259360813476e-08,1.614693854562718e-07,1.9170424383191398e-07,-2.8421937973187013e-05,0.0023992991931058583,0.0016171212908037465,0.0028935316991122373,-14.694070643722185,63.71342209114813,-1.703196049159006,-1.3805871174835067,1,1
