time_s,RM_t_Nmm,RM_e1_Nmm,RM_e2_Nmm,RM_norm_Nmm,Tmag_baseline_t_Nmm,Tmag_baseline_e1_Nmm,Tmag_baseline_e2_Nmm,Tmag_baseline_norm_Nmm,required_transverse_Nmm,available_transverse_Nmm,omega_spin_rad_s,omega_wobble_rad_s,tilt_deg,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge,com_x_mm,com_y_mm,com_z_mm,axis_x,axis_y,axis_z
0.01343000028282404,221.49570521043967,-4127.958476643779,6134.570192768898,7397.43556797425,4.6626808122625035e-05,-0.0016876394668441789,0.0024462661513574924,0.002972291895585493,7394.118786907867,0.0029719261520649368,-38.01277265558004,90.53870871330302,24.47643666350252,-129.50152305180927,-165.69145708452137,1,1,-7.367858141714382,-3.6795682666477445,-9.541474120018991,0.8028504631225396,-0.049204251050039866,0.5941465101660773
0.013439999893307686,219.08395256984448,-4137.518178598688,6121.663729710557,7392.010638260877,4.475994812857439e-05,-0.0016894966282112488,0.0024447823520535516,0.0029720974174152074,7388.763326693336,0.0029717603546803154,-38.012771483497865,90.53870920540297,24.47517143430732,-129.5055744574214,-165.66443061341596,1,1,-7.367851927930164,-3.67950820286094,-9.541486057711753,0.8028058059469272,-0.05010840499196624,0.5941312865748328
0.013450000435113907,216.58251534634698,-4147.85691871865,6110.313117764837,7388.3388796971785,4.287736079847519e-05,-0.0016913123050777792,0.002443285077465069,0.0029718710858884913,7385.1637365254965,0.0029715617582461583,-38.01277300707392,90.53870856572796,24.47403074340937,-129.49862804807555,-165.65014233682828,1,1,-7.367850475066947,-3.679445067572284,-9.541486837228748,0.802760268425067,-0.05101251373452696,0.59411587664411
0.013460000045597553,213.70177428444396,-4157.870379974924,6099.850948170338,7385.237716884928,4.097917089536028e-05,-0.0016930855975120765,0.0024417748048840234,0.0029716127491173044,7382.145195440644,0.002971330179947903,-38.01277183103904,90.53870905948743,24.47301119195788,-129.4965790701652,-165.6331300631011,1,1,-7.367843844050216,-3.679291590501431,-9.541490821426722,0.8027138858360249,-0.05191658055985933,0.5941002324094823
0.0134699996560812,211.14895749666653,-4168.257796436722,6089.1983874020025,7382.228250396121,3.9064982908366187e-05,-0.0016948161202048383,0.0024402515894356197,0.0029713221928863386,7379.207956054272,0.002971065381483425,-38.012773221879065,90.53870847554177,24.472116138467886,-129.4968093693236,-165.61580093371353,1,1,-7.367835953885364,-3.6791070053939405,-9.541495743466529,0.8026666241609625,-0.05282059395680465,0.59408440083215
0.01348000019788742,208.9355890308781,-4178.830371938393,6078.405386857612,7379.247211252518,3.71343995350284e-05,-0.0016965034750429536,0.00243871547612846,0.0029709991884835827,7376.288722956444,0.0029707671087349273,-38.01277191308565,90.53870902504008,24.471342254652026,-129.49026824361277,-165.6064583786756,1,1,-7.367832399958419,-3.678990785184193,-9.541493510154995,0.8026185174975963,-0.053724563713975056,0.5940683349781435
0.013489999808371067,208.0056733743727,-4190.713970500852,6067.026545511964,7376.595491597312,3.518756718898295e-05,-0.0016981467959480722,0.002437166933880618,0.00297064359509424,7373.662230296277,0.0029704351876770107,-38.01277317086903,90.5387084969584,24.47069289277621,-129.4763443946264,-165.60562050783523,1,1,-7.367834202998924,-3.678964042256463,-9.541483936158928,0.8025695318502771,-0.05462847829654133,0.5940520818115459
0.013500000350177288,206.7408138866584,-4201.983694747647,6055.523937766546,7373.518759446893,3.32239153470578e-05,-0.0016997458430113887,0.0024356058523624232,0.0029702551451765164,7370.619860757217,0.002970069325604469,-37.954412032449426,90.54898660503547,24.470164645228472,-129.45927560286896,-165.60924770620966,1,1,-7.367839515262889,-3.6789817909364286,-9.541471185421559,0.8025197025040662,-0.055532341040233434,0.5940355933707814
0.013509999960660934,205.33351740130666,-4211.691662093857,6042.43444058913,7368.278121700956,3.1243605502978065e-05,-0.0017012997736242542,0.002434032694297173,0.0029698337057024455,7365.416527622086,0.002969669354766873,-37.89605283305864,90.56858868032342,24.46870737981697,-129.42551446103823,-165.60087462062657,1,1,-7.367845088297176,-3.678988520440522,-9.541455382740113,0.8024799096745364,-0.056436613495314696,0.5940041272802138
0.01351999957114458,204.15593148480755,-4222.4173441307885,6029.746854337947,7363.989068417694,2.924625653879759e-05,-0.0017028081992959611,0.0024324474817149647,0.0029693790358276185,7361.158560676089,0.0029692350049955675,-37.89605286177854,90.5685886683063,24.467372772806087,-129.39655350137713,-165.58937712745936,1,1,-7.367851205223846,-3.6789940145452205,-9.541443829683574,0.8024392571681699,-0.05734082863241537,0.5939724471110962
