t_s,freq_Hz,phase_rad,B_mT,robot_arc_mm,driver_arc_mm,delta_s_mm,robot_arc_velocity_mm_s,rp_speed_mm_s,ur1,ur2,ur3,theta_norm_rad,Ft_mN,torque_mag_Nmm
0.0130804346528409,16.445380321235817,4.8606142307203655,10.0,13.999960625932426,18.978443233917044,4.978482607984619,0.0,329.3610944416226,-0.373153247841724,-1.1941962859608932,-0.9667481815215772,1.5811230699262138,-0.005677363243919088,0.0010680303887219279
0.0130833337454964,16.44791702730939,4.860913815247576,10.0,13.999960625932426,18.978460628472977,4.978500002540551,-7.450580596923828e-09,329.3179222798824,-0.3729728514970892,-1.1958420322412846,-0.967540003312714,1.5828078127300236,-0.005683930913325472,0.0010891455898657005
0.0130862328702956,16.450453761508715,4.861213449304662,10.0,13.999960625932426,18.97847802322177,4.978517397289343,-7.450580596923828e-09,329.2768768592167,-0.372792607880986,-1.197486658208284,-0.9683307614820575,1.584491429042761,-0.005690473615875862,0.0011102396420984246
0.0130891319681918,16.452990472167883,4.861513126789076,10.0,13.999960625932426,18.97849541780915,4.978534791876724,7.450580596923828e-09,329.2321453445663,-0.3726124971105405,-1.1991301193152966,-0.9691204679915636,1.586173886284936,-0.005696991430090207,0.001131312140135868
0.0130920310875022,16.45552720156444,4.861812852695194,10.0,13.999960625932426,18.97851281252501,4.9785521865925855,7.450580596923828e-09,329.1873966866627,-0.3724324825746448,-1.200772437417876,-0.9699091788438008,1.5878552250582028,-0.005703484782770663,0.00115236361493656
0.0130949302000076,16.45806392500665,4.8621126241059285,10.0,13.999960625932426,18.978530207200045,4.978569581267619,0.0,329.1423099797097,-0.3722525675732826,-1.2024135762512762,-0.9706968792157474,1.5895354081421011,-0.0057099535687340245,0.0011733935530640976
0.0130978292911594,16.460600629764524,4.86241243951627,10.0,13.999960625932426,18.97854760174696,4.978586975814535,7.450580596923828e-09,329.0966570755156,-0.3720727584573998,-1.2040535009111226,-0.971483550911503,1.5912143979784912,-0.005716397661458809,0.00119440143224
0.0131007284130491,16.463137361418013,4.862712304313575,10.0,13.999960625932426,18.97856499647829,4.978604370545865,-7.450580596923828e-09,329.05146077128205,-0.3718930571247905,-1.2056922172287443,-0.9722691952928016,1.592892198718702,-0.005722817095527291,0.0012153872527630003
0.0131036275289463,16.46567408782804,4.863012214699308,10.0,13.999960625932426,18.97858239117368,4.978621765241256,7.450580596923828e-09,329.00597997311615,-0.3717134708772488,-1.2073296818730292,-0.9730537901606172,1.59456876418334,-0.00572921171364938,0.0012363503862070698
0.0131065266347884,16.468210805439902,4.863312170252817,9.999999999999899,13.999960625932426,18.97859978580873,4.978639159876304,7.450580596923828e-09,328.9601931620041,-0.3715340053887239,-1.2089658664851493,-0.9738373205264872,1.5962440635243045,-0.005735581418995343,0.0012572903976716399
0.0131094257565395,16.470747536972137,4.863612173660612,10.0,13.999960625932426,18.978617180539235,4.978656554606809,1.4901161193847656e-08,328.9144043657965,-0.3713546642204465,-1.210600762088503,-0.974619780701972,1.5979180857425404,-0.00574192619130064,0.001278207101065855
0.0131123248751979,16.47328426579817,4.863912222956676,10.0,13.999960625932426,18.978634575251185,4.978673949318759,-1.4901161193847656e-08,328.86856914385595,-0.3711754536388468,-1.2122343351646525,-0.9754011532680268,1.599590794713663,-0.005748245916044466,0.0012990999972124285
0.0131152239756217,16.47582097866899,4.864212316573382,10.0,13.999960625932426,18.97865196985373,4.978691343921303,7.450580596923828e-09,328.82215508668764,-0.3709963800368079,-1.213866551166071,-0.9761814203459892,1.6012621532619011,-0.005754540476527264,0.0013199685754498067
0.013118123110955,16.47835772208568,4.864512460012213,10.0,13.999960625932426,18.97866936466573,4.978708738733305,0.0,328.7762670694594,-0.3708174453177472,-1.215497416584261,-0.9769605836917328,1.602932166238573,-0.005760809915325947,0.0013408128504570624
0.0131210222292305,16.480894450576745,4.8648126478934826,10.0,13.999960625932426,18.978686759375385,4.97872613344296,0.0,328.7298342694815,-0.3706386578155504,-1.2171268794188033,-0.9777386171279971,1.6046007786033367,-0.005767054051013345,0.0013616320901393888
0.0131239213440958,16.483431176083847,4.865112881629837,10.0,13.999960625932426,18.978704154064573,4.9787435281321475,0.0,328.6832837193355,-0.3704600221908694,-1.2187549212676476,-0.978515510559036,1.6062679697237259,-0.0057732728329836745,0.0013824259934195299
0.0131268204633274,16.485967905411517,4.865413162026648,10.0,13.999960625932426,18.97872154877996,4.978760922847533,7.450580596923828e-09,328.63679182161195,-0.3702815430640922,-1.2203815242123526,-0.9792912541350154,1.6079337194667327,-0.005779466213427112,0.001403194265827795
0.0131297195766577,16.48850462957557,4.865713488020393,10.0,13.999960625932426,18.978738943459945,4.978778317527519,-7.450580596923828e-09,328.58991116026516,-0.3701032265370412,-1.2220066569496817,-0.9800658316432472,1.609597993996338,-0.0057856340948353275,0.001423936443419237
0.013132618707703,16.491041369240147,4.866013862057811,10.0,13.999960625932426,18.978756338246217,4.978795712313792,0.0,328.5433656214943,-0.3699250763214902,-1.223630310074806,-0.9808392373290048,1.6112607819063214,-0.005791776464006886,0.0014446523423615896
