node,x_mm,y_mm,z_mm
155,-6.585133291954792,-3.5996255796632313,-9.592022617406144
156,-6.592722831825676,-3.7681114247346135,-9.646130952088955
157,-6.705461637647079,-3.616338176862382,-9.106161988495828
158,-6.588216396933807,-3.682693071766102,-9.621405374775723
159,-6.643873560169326,-3.480218138199217,-9.290268318134927
160,-6.718486216182363,-4.054715463634445,-9.274560687296763
161,-6.689632502087897,-3.558594400275682,-9.141959926739503
162,-6.7062227669332435,-4.08163926663448,-9.338568850368002
163,-6.743016724541489,-3.9048170042436783,-9.097908952212304
164,-6.605445611479088,-3.4996074505611423,-9.457948844883573
165,-6.591945128005159,-3.5411316316220214,-9.534429520440003
166,-6.734561102704753,-4.025126502273508,-9.193545678158797
167,-6.667077367944124,-3.517156515474041,-9.213642898568944
168,-6.742549874085245,-3.969888446577728,-9.132765737431482
169,-6.623125556946864,-3.4769827988189856,-9.37386540558421
170,-6.603660939417046,-3.9116765981501347,-9.673868296807713
171,-6.6679640864886665,-4.09653243244471,-9.50327807438515
172,-6.731730946043761,-3.668302743674772,-9.024549396276592
173,-6.7580031921326675,-3.8580497809512164,-9.01266970199571
174,-6.6393384845178876,-4.038301195176532,-9.591398383591368
175,-6.653850228444396,-4.071287915294906,-9.54848048909748
176,-6.626353346546438,-4.010886964755816,-9.630865606407898
177,-6.742813750378871,-3.8415661368934364,-9.066725439496238
178,-6.661838997296956,-4.04774200700702,-9.503743004098855
179,-6.6491816224261395,-4.013385879443753,-9.538349782276136
180,-6.631982960491785,-3.9733178118284305,-9.588721244467614
181,-6.617862930255352,-3.916832370398179,-9.618134977241867
182,-6.718410109923704,-3.669314699253467,-9.079784927568467
183,-6.692122862871467,-3.6221158491894503,-9.16388360134177
184,-6.695326021829342,-4.021756768007404,-9.353021438529963
185,-6.674549119451975,-4.060426747431808,-9.45794956064107
186,-6.6629696707173105,-3.996499924827214,-9.473159539825208
187,-6.72957306156245,-3.7140157512038106,-9.056553946232942
188,-6.606860327988989,-3.871364261449822,-9.640318946490456
189,-6.7051776974882245,-3.671693314374207,-9.13534900371106
190,-6.644169716439629,-3.950248587580562,-9.526979318104836
191,-6.735211803828862,-3.7699244641659875,-9.061690226994017
192,-6.6186288915025395,-3.862760875955047,-9.587617548047866
193,-6.692297647943932,-3.674528453168538,-9.189696629575078
194,-6.603700381993605,-3.8277580691393402,-9.631227020391616
195,-6.629717168857125,-3.917974510168003,-9.570014765338604
196,-6.728583698468942,-3.908319329422827,-9.158974083090007
197,-6.679986686085571,-4.024645447422438,-9.417499152028563
198,-6.610273232532307,-3.7977484002182305,-9.589034333552345
199,-6.6358527911858305,-3.8852131264710708,-9.52822534664695
