time_s,s_COM_mm,Vt_direct_mm_s,Vt_from_s_mm_s,projection_residual_mm
0.0052999998442828,12.344701960206024,-470.6916580663016,-471.02789927432605,0.4381898929627198
0.005350099876523,12.321120970391581,-470.66434644974265,-470.6649332439265,0.4468611574524592
0.0054000997915863,12.297588422549593,-470.63773071959406,-470.63747498237353,0.4555206318876309
0.0054500000551342,12.274104199736236,-470.6119458996649,-470.61109887540806,0.4641679817715324
0.0055001000873744,12.250527178314256,-470.58691110442237,-470.5865391096304,0.47285491706683097
0.0055501000024378,12.22699850949155,-470.5626503401021,-470.563960872576,0.4815291359772425
0.0055999998003244,12.203517971655131,-470.5395004966401,-470.5403884494881,0.49019031424292775
0.0056500998325645,12.179944555947035,-470.5173166112042,-469.55127223911404,0.4988902732496211
0.0057001002132892,12.156515501132342,-467.18830431555006,-467.87938869300706,0.5065841714216064
0.0057500000111758,12.13320318114759,-467.17173582297806,-462.9797079689306,0.5136918524085229
0.005800100043416,12.110219295508456,-457.7365241202594,-458.242329051398,0.5012244385161476
0.0058499998413026,12.087378819229901,-457.7128706019463,-457.71202279638965,0.486603032138335
0.0059000002220273,12.064493785660158,-457.68889879181216,-457.6900800636504,0.47208418644043393
0.0059500997886061,12.041564067745261,-457.6646379454372,-457.6655484557996,0.45768110115396576
0.006000000052154,12.018727301633286,-457.6401843675958,-457.6378761809756,0.443493480753408
0.0060501000843942,11.9958001488989,-457.61552589077365,-457.61656411264266,0.42942307592206325
0.0061000999994575,11.972919905491931,-457.5909268505328,-457.58768683740345,0.4155720688539084
0.0061499997973442,11.950087266742045,-455.7378193805032,-455.02389729629795,0.40195315020873257
0.0062000998295843,11.92741861464424,-452.4300093771884,-452.4417276472086,0.3851110307504543
0.006250100210309,11.90479765776802,-452.40873740448046,-452.4071711028955,0.3682993210301594
0.0063000000081956,11.882223055733519,-452.3875637461632,-452.38807301768975,0.35153563082916245
0.0063501000404357,11.859558931565871,-452.36645895178043,-452.36677962803515,0.3347210928269135
0.0064000999554991,11.836941162799102,-452.345580772304,-452.34436869328783,0.3179587604558295
0.006450000219047,11.814369645995127,-452.3249688890465,-452.2488708463352,0.30125129081966917
0.0065000997856259,11.791716385987854,-450.8691526768141,-451.5127858124324,0.2849799186428828
0.0065501001663506,11.769173110717222,-450.8540111021124,-450.8530961864162,0.27334391716538287
0.0065999999642372,11.746676079347498,-450.83873771847254,-450.8387714134151,0.2629711327836512
0.0066500999964773,11.724089312314856,-450.8232581567801,-450.82468370765855,0.25395560529149636
0.0067000999115407,11.701548550525052,-450.80787802891587,-450.8073752204509,0.2465083996034728
0.0067500001750886,11.679053573293489,-450.79262880695194,-450.79111556230055,0.24076325457002218
0.0068001002073287,11.656469308692984,-450.77754983140795,-450.7769053920347,0.23681413046740948
0.0068501001223921,11.633930827512073,-450.762752106999,-445.2027570853097,0.23478131144678507
0.0069001000374555,11.611949108612468,-436.71831860874016,-438.17244616801327,0.22593388579910867
0.0069500999525189,11.590113657329027,-436.6935872725862,-436.69473180557543,0.21542715433702836
0.0070000998675823,11.568279709614641,-436.6690994462206,-436.66920343737,0.2054225529489828
0.0070500997826457,11.546446811163685,-436.6448983249737,-436.64388826931827,0.19599651423407308
0.0071001001633703,11.524615191647491,-436.62097939644843,-436.62125354184536,0.1872361297110791
0.0071499999612569,11.502828268379469,-436.5974858985092,-436.5994434588065,0.17925376589702546
0.0072000999934971,11.480955327091472,-436.5743258711285,-434.2249145953683,0.17210990263824533
0.0072500999085605,11.459361905137856,-427.18012689027864,-429.5158304274373,0.1688548829593634
0.0073000001721084,11.438046150354536,-427.16207195052345,-427.16110895061865,0.16874976197655775
0.0073501002043485,11.416645670323506,-427.14382882301175,-427.14422971216845,0.16864837383187817
0.0074001001194119,11.395289033311894,-427.1255650148623,-427.12495099095395,0.16855143914699197
0.0074499999172985,11.37397600862247,-427.1073593041228,-427.1085466229997,0.1684589029486774
0.0075000999495387,11.352578254376585,-427.08919740379565,-427.08977038679586,0.16837017519535505
0.007550099864602,11.331224342944935,-427.0711359188884,-427.07052873581415,0.16828587542659953
0.0076000001281499,11.309913830598765,-427.0533535312504,-427.05174088334024,0.1682058763561351
0.0076501001603901,11.288519046694978,-427.035770061844,-424.90093467880797,0.1681297557891814
0.0077001000754535,11.267380841277703,-416.87211104724906,-419.81410487195535,0.17036106674173915
0.0077499998733401,11.246579147881597,-416.8595166350978,-416.86100665901904,0.17635841610665176
0.0078000999055802,11.225694814749874,-416.8466690196109,-416.8441843378241,0.18315933425383393
0.0078501002863049,11.204852871194191,-416.8337390566946,-416.83297075780865,0.19064226704322967
0.0079001002013683,11.18401139437732,-416.8208171193338,-416.8195121110184,0.1987415524231468
0.0079500004649162,11.163212525348776,-416.80799105927855,-416.80768856423674,0.2073672869769595
0.0080000003799796,11.142372232065162,-416.79527688039906,-416.79715941194445,0.216488808552733
0.0080500002950429,11.12153288021029,-416.78272656543885,-416.7829540922394,0.22603149325641417
0.0081000002101063,11.100694007456234,-416.77046646625627,-414.2158204952284,0.23594413399904376
0.0081500997766852,11.080070602482225,-410.8722803277494,-411.2541573832423,0.22700798978974537
0.0082000996917486,11.059527600989083,-410.8484222219546,-410.8461152521195,0.21604329196514793
0.0082499999552965,11.039026999277354,-410.82360546881335,-410.8209131443582,0.20580408721281718
0.0082999998703598,11.018486520507192,-410.79777649814935,-410.79740351537475,0.19635949222657156
0.0083330003544688,11.004930287632215,-410.7802406904526,-410.7889093445313,0.19063211471765934
