time_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s
0.0069001000374555,-1.5884207587929474e-06,-6.15484876885078e-05,-1.5974261255799024e-05,6.360751873731503e-05,3.665253673613125e-09
0.0069500999525189,-1.6852088280453864e-06,-6.202138066207967e-05,-1.5964478916788248e-05,6.406524935649036e-05,3.632926041516191e-09
0.0070000998675823,-1.7914771682185789e-06,-6.249959528450345e-05,-1.595400928354979e-05,6.452859221609106e-05,3.607009276639128e-09
0.0070500997826457,-1.9068500212631276e-06,-6.298169808960159e-05,-1.594288528090249e-05,6.499619959915605e-05,3.58707356931344e-09
0.0071001001633703,-2.030957673997665e-06,-6.346634810907239e-05,-1.5931152070169114e-05,6.546681401793109e-05,3.572732423759206e-09
0.0071499999612569,-2.16315834873306e-06,-6.395129145129257e-05,-1.591889190159257e-05,6.593828972383533e-05,3.563670764387974e-09
0.0072000999934971,-2.3039099998442064e-06,-6.443823843862373e-05,-1.5906097474397213e-05,6.6412337040834e-05,3.5595900140942015e-09
0.0072500999085605,-2.4512348532168638e-06,-6.492511279609479e-05,-1.5892631245071357e-05,6.688687877142329e-05,3.540509158053327e-09
0.0073000001721084,-2.6033873907590035e-06,-6.541408177073369e-05,-1.587807753422043e-05,6.736388547283561e-05,3.506470599128949e-09
0.0073501002043485,-2.760267101019633e-06,-6.590846450569945e-05,-1.5862157596117822e-05,6.784653868527189e-05,3.47685709080298e-09
0.0074001001194119,-2.9204636840946816e-06,-6.640439611967551e-05,-1.5844967223406666e-05,6.833107578883654e-05,3.451607445939193e-09
0.0074499999172985,-3.0835832502745264e-06,-6.690078940650655e-05,-1.5826559497199317e-05,6.881645220725566e-05,3.43053536442961e-09
0.0075000999495387,-3.2502597987057916e-06,-6.739961036004732e-05,-1.5806874484968485e-05,6.930460984976994e-05,3.413465930409782e-09
0.007550099864602,-3.4191558616653343e-06,-6.789687641685787e-05,-1.5786090290833378e-05,6.979166927823675e-05,3.4005605759878814e-09
0.0076000001281499,-3.5899136609034133e-06,-6.839161209211163e-05,-1.5764286709276814e-05,7.027668760053288e-05,3.391951292369252e-09
0.0076501001603901,-3.7632125782749294e-06,-6.888577840811204e-05,-1.5741413665194578e-05,7.076160215808838e-05,3.3878677030225096e-09
