time_s,Krot_J,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W
0.0037000998854637,1.1661118881230748e-06,3.8023059260518004e-06,-4.526988618667754e-09,-2.6361940379287256e-06,-0.0037480477170161717,-0.0012690069236197805
0.0037501000333577,1.1830153479906377e-06,3.7094066247662085e-06,-4.589542629829472e-09,-2.5263912767755707e-06,-0.0037297076045350193,-0.0012331461217804846
0.0038000000640749,1.0907615060947327e-06,3.630699001940361e-06,-4.649196163051893e-09,-2.5399374958456283e-06,-0.0037168812582732765,-0.0011577755816748767
0.0038501000963151,1.0417933497589665e-06,3.5893197942842415e-06,-4.706172241305856e-09,-2.547526444525275e-06,-0.003709923305381763,-0.0011167170965252402
0.0039001000113785,1.0364591283370627e-06,3.5860626525433465e-06,-4.76185283123316e-09,-2.5496035242062836e-06,-0.0037091076735386802,-0.00111051028402936
0.0039500999264419,1.0748852232864864e-06,3.620947907993497e-06,-4.818095748166778e-09,-2.5460626847070106e-06,-0.0037144311492018824,-0.0011392102149875454
0.0040000001899898,1.013749862780487e-06,3.6756753546574144e-06,-4.874512699589004e-09,-2.6619254918769274e-06,-0.0037256846687496663,-0.0011219783003023668
0.0040500001050531,9.439322742632259e-07,3.688596810711488e-06,-4.927226071540417e-09,-2.744664536448262e-06,-0.0016323080023043063,-0.0009865601596001441
0.0041001001372933,1.202632679542706e-06,3.634055627622247e-06,-4.979491913030482e-09,-2.431422948079541e-06,-0.001628219152978256,-0.001099899235854174
0.0041499999351799,1.1302412129987541e-06,3.574041277973423e-06,-5.0328916961322305e-09,-2.443800064974669e-06,-0.0016321634327087589,-0.0010403813008767414
0.0042000999674201,1.1018582720827213e-06,3.551700022333743e-06,-5.084400639879592e-09,-2.4498417502510215e-06,-0.001643951826713782,-0.0010158626352711239
0.0042500998824834,1.1175565399198629e-06,3.567503570540776e-06,-5.135463076427157e-09,-2.449947030620913e-06,-0.001663342626541814,-0.0010266382962972572
0.0043000001460313,1.1774128931977843e-06,3.62122646460812e-06,-5.187839380308276e-09,-2.443813571410336e-06,-0.0016901225592590907,-0.0010726012730826423
0.0043501001782715,1.280630450702833e-06,3.712777314242924e-06,-5.2436011690830955e-09,-2.432146863540091e-06,-0.0017243271118330863,-0.001153416806405812
0.0044001000933349,1.42642560067586e-06,3.840802204567718e-06,-5.3041411326731406e-09,-2.4143766038918584e-06,-0.0017656309319099576,-0.001268185850849897
0.0044499998912215,1.6134769951047233e-06,4.003901854658918e-06,-5.371103842414951e-09,-2.3904248595541947e-06,-0.001813834267126707,-0.0014157011618385277
