frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
95,0.004749999847263,0.0578221726952322,67,416,0.0677809160390732,68,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
96,0.0048000998795032,0.0406679414875882,67,428,0.0640974798442412,34,467,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
97,0.0048500001430511,0.0069524874717042,34,467,0.0436189943173515,33,466,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
98,0.0049000000581145,0.0183046278279084,67,428,0.0431236355913384,16,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
99,0.0049501000903546,0.0119944518646837,67,428,0.0231218221996,67,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
100,0.0049999998882412,0.0026478496674873,67,428,0.0052005785996894,67,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
101,0.0050500999204814,0.0062291196832828,67,428,0.0218333144617443,16,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
102,0.0051000998355448,0.0138336684158589,67,428,0.0277597921227823,17,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
103,0.0051500000990927,0.0181786722857911,67,428,0.0256993208216841,68,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
104,0.0052001001313328,0.0109435280403436,18,427,0.017452095286468,68,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
105,0.0052501000463962,0.0003158323159294,18,427,0.000464769078805,18,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
106,0.0052999998442828,0.0089929630559467,18,427,0.0145219745344979,18,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
107,0.005350099876523,0.0172480100345968,18,427,0.0305642780511167,18,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
108,0.0054000997915863,0.0236154033700953,18,427,0.0425108841062876,68,427,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
109,0.0054500000551342,0.0280184985380361,18,427,0.0400163975946077,68,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
110,0.0055001000873744,0.0304127579540367,18,427,0.0319360077020198,68,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
111,0.0055501000024378,0.0262227083807445,68,440,0.0391113066676939,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
