time_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Krot_J,Fhydro_power_W,Thydro_power_W
0.0057001002132892,4.172573760239161e-06,-6.118495241559271e-09,-3.2559404369483294e-06,9.166333349152669e-07,-0.0011526116743101364,-0.0007343181983907944
0.0057500000111758,4.202547272932201e-06,-6.145511507236115e-09,-3.9407880639474165e-06,2.617592206092198e-07,-0.001138148951910877,-0.000348502447025051
0.005800100043416,4.1209044554235355e-06,-6.16096439967283e-09,-3.8369934618065555e-06,2.8391100524141577e-07,-0.003075882574580449,-0.0002683790896026378
0.0058499998413026,3.995125398512461e-06,-6.1725118686388285e-09,-3.7527429206925425e-06,2.4238248944435397e-07,-0.0030445475937308777,-0.0001944471924693123
0.0059000002220273,3.89446095864967e-06,-6.179901435825604e-09,-3.7689455761313542e-06,1.25515394142751e-07,-0.003019895275328727,-0.0001011332443062586
0.0059500997886061,3.831386351523122e-06,-6.1835109177722176e-09,-3.7787179637865975e-06,5.2668399360959944e-08,-0.0030021623702201337,-4.2959097927344876e-05
0.006000000052154,3.806993184459568e-06,-6.185098725770846e-09,-3.782433976700041e-06,2.455921938396232e-08,-0.0029915683518729483,-2.068016510398703e-05
0.0060501000843942,3.821469680745976e-06,-6.186484178406186e-09,-3.7796732396703364e-06,4.179645270007495e-08,-0.002988117490395845,-3.46272897374339e-05
0.0061000999994575,3.8747860213516844e-06,-6.189469871077873e-09,-3.7704536332950906e-06,1.0433239968102931e-07,-0.0029919001658355263,-8.480062000631142e-05
0.0061499997973442,3.9278510761284594e-06,-6.1932151914388316e-09,-3.87630693982579e-06,5.154414792710556e-08,-0.003002887107776618,-6.531302852837892e-05
0.0062000998295843,3.93366135571916e-06,-6.197960477515947e-09,-3.827587743906504e-06,1.0607362343709148e-07,-0.00250938397754304,-0.00012411942749778566
0.006250100210309,3.922345484469312e-06,-6.2042150888150825e-09,-3.8035375134428806e-06,1.1880798265086687e-07,-0.0025116048712666024,-0.00012606311945413163
0.0063000000081956,3.941113910990511e-06,-6.21101190774404e-09,-3.7981174537982314e-06,1.4299646881671525e-07,-0.0025173444691565725,-0.0001463555762850308
0.0063501000404357,3.99872675640419e-06,-6.219755768521245e-09,-3.7865990295649422e-06,2.121277384636833e-07,-0.0025266028261608075,-0.00020270051754344483
0.0064000999554991,4.094529043393827e-06,-6.232190469880472e-09,-3.768624792638499e-06,3.2590426237976376e-07,-0.002539384733336501,-0.0002946883817560769
0.006450000219047,4.227674734632918e-06,-6.250061403907483e-09,-3.744073444285933e-06,4.836013019714201e-07,-0.002555806433027844,-0.0004215777361515446
0.0065000997856259,4.3531817587151205e-06,-6.269578425509166e-09,-4.090651624978853e-06,2.6253014536070295e-07,-0.002576193521103374,-0.000357551623019527
0.0065501001663506,4.41073336924071e-06,-6.281463153513718e-09,-4.290195296161952e-06,1.2053808470319344e-07,-0.002406765024721346,-0.00011783387734251465
0.0065999999642372,4.431321356654808e-06,-6.287707891768456e-09,-4.297930905120437e-06,1.3339046315880692e-07,-0.0023942532561876213,-0.0001324572468391565
0.0066500999964773,4.474633144036846e-06,-6.295412523162578e-09,-4.2890545408355e-06,1.8557861482578176e-07,-0.0023777418523452712,-0.0001751126707687915
0.0067000999115407,4.554769605267489e-06,-6.306093455412561e-09,-4.273986768041677e-06,2.8078284885024777e-07,-0.0023574820829692254,-0.0002521253449934174
0.0067500001750886,4.6710202821290255e-06,-6.321437681655097e-09,-4.2526091452407685e-06,4.1841114851269267e-07,-0.002333871732030563,-0.000362870454690349
0.0068001002073287,4.823149619592843e-06,-6.343218296490961e-09,-4.226314976883051e-06,5.968346543342274e-07,-0.002307355817028826,-0.0005066146079731789
0.0068501001223921,4.947541375433831e-06,-6.365297520291183e-09,-4.623371364148131e-06,3.2417002291013563e-07,-0.0022789056108287052,-0.00037655584430560014
0.0069001000374555,4.952397192309246e-06,-6.3875959829013555e-09,-4.456434182339416e-06,4.959630215942655e-07,-0.00351248261184949,-0.0005153841752683777
0.0069500999525189,4.869000964518841e-06,-6.41421424777177e-09,-4.225509686459288e-06,6.434912896839881e-07,-0.0034624901416254257,-0.0005493482282432036
0.0070000998675823,4.789306694507335e-06,-6.439894128597173e-09,-4.236517316462682e-06,5.527893896690877e-07,-0.0034177077100614943,-0.0004778487497053106
0.0070500997826457,4.7444563085877515e-06,-6.46280962242515e-09,-4.241829227325893e-06,5.026270928862934e-07,-0.0033786200637559646,-0.00043877256050774447
0.0071001001633703,4.735095108541725e-06,-6.484597271582425e-09,-4.241324804072388e-06,4.93770316093772e-07,-0.0033456647179095408,-0.00043272676975857055
0.0071499999612569,4.761488328229654e-06,-6.506869157281732e-09,-4.234918855059409e-06,5.265694847946793e-07,-0.003319296537491062,-0.00045993759533247326
0.0072000999934971,4.810840489381353e-06,-6.53042248197949e-09,-4.298765958014783e-06,5.120745429910053e-07,-0.0032997585293254796,-0.0004803142825439478
0.0072500999085605,4.848335917714119e-06,-6.550397386197123e-09,-4.45957047726229e-06,3.887654520762646e-07,-0.004219216620890397,-0.00031868324344406563
