rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg
0.4,0.017133333333333334,0.008988154192046677,15.523956199594515,52.677427261724645
0.4,0.017166666666666667,0.008984095653357713,15.430501280718568,53.303486671595365
0.4,0.0172,0.008980112530063302,15.338159970338477,53.93751199487685
0.4,0.017233333333333333,0.008976205551953177,15.24697343974556,54.57954900286915
0.4,0.017266666666666666,0.00897237543585336,15.156983270634065,55.2296378639876
0.4,0.0173,0.008968622885439276,15.068231426827376,55.88781275546197
0.4,0.017333333333333333,0.00896494859105144,14.980760223431014,56.55410146682791
0.4,0.017366666666666666,0.00896135322951386,14.894612293327544,57.22852499643826
0.4,0.0174,0.008957837463955214,14.809830550934146,57.911097142390936
0.4,0.017433333333333332,0.00895440194363294,14.726458153152672,58.60182408944238
0.4,0.017466666666666665,0.008951047303760248,14.64453845745127,59.30070399366017
0.4,0.0175,0.008947774165336247,14.564114977027584,60.00772656674753
0.4,0.017533333333333335,0.008944583134979185,14.485231333017685,60.72287266215906
0.4,0.017566666666666668,0.00894147480476295,14.407931203727193,61.44611386531071
0.4,0.0176,0.00893844975205688,14.332258270879137,62.17741209036491
0.4,0.017633333333333334,0.008935508539369,14.258256162888774,62.91671918625052
0.4,0.017666666666666667,0.008932651714192753,14.185968395197099,63.66397655473941
0.4,0.0177,0.008929879808857292,14.11543830771285,64.41911478355532
0.4,0.017733333333333334,0.008927193340381466,14.04670899943781,65.18205329763052
0.4,0.017766666666666667,0.00892459281033152,13.97982326037183,65.95270003174238
0.4,0.0178,0.008922078704682632,13.914823500820326,66.73095112786041
0.4,0.017833333333333333,0.008919651493684335,13.85175167825207,67.5166906605998
0.4,0.017866666666666666,0.008917311631729931,13.790649221883069,68.30979039422344
0.4,0.0179,0.008915059557229928,13.731556955188726,69.11010957463161
0.4,0.017933333333333332,0.008912895692489611,13.67451501657543,69.91749475975358
0.4,0.017966666666666666,0.008910820443590803,13.619562778470232,70.73177969168034
0.4,0.018,0.008908834200277875,13.566738765115419,71.55278521375983
0.4,0.018033333333333332,0.008906937335848072,13.516080569380494,72.38031923572045
0.4,0.01806666666666667,0.008905130207046233,13.46762476893277,73.21417674967483
0.4,0.0181,0.008903413153963962,13.421406842129942,74.05413989960266
0.4,0.018133333333333335,0.008901786499943285,13.377461084020387,74.89997810660957
0.4,0.018166666666666668,0.008900250551484879,13.335820522860518,75.75144825189957
0.4,0.0182,0.00889880559816092,13.296516837572154,76.60829491900954
0.4,0.018233333333333334,0.00889745191253258,13.259580276579484,77.47025069640823
0.4,0.018266666666666667,0.008896189750072262,13.225039578475718,78.33703654108527
0.4,0.0183,0.008895019349090573,13.19292189497567,79.20836220323962
0.4,0.018333333333333333,0.00889394093066811,13.163252716614103,80.08392671163413
0.4,0.018366666666666667,0.008892954698592097,13.136055801646426,80.9634189186189
0.4,0.0184,0.008892060839297888,13.111353108603078,81.8465181032445
0.4,0.018433333333333333,0.00889125952181541,13.089164732936313,82.73289463030302
0.4,0.018466666666666666,0.00889055089772053,13.06950884818175,83.62221066254918
0.4,0.0185,0.008889935101091422,13.052401652035687,84.51412092278335
0.4,0.018533333333333332,0.00888941224846992,13.037857317723665,85.40827350193003
0.4,0.018566666666666665,0.008888982438827917,13.025887951002606,86.30431070872358
0.4,0.0186,0.00888864575353881,13.016503553106917,87.2018699561378
0.4,0.01863333333333333,0.008888402256353988,13.009711989906378,88.1005846792619
0.4,0.018666666666666668,0.008888251993384432,13.005518967503159,89.00008527895406
0.4,0.0187,0.008888194993087383,13.003928014448778,89.90000008529269
0.4,0.018733333333333334,0.00888823126625813,13.004940470713366,90.79995633460938
0.4,0.018766666666666668,0.00888836080602687,13.008555483489658,91.69958115371371
0.4,0.0188,0.008888583587860707,13.014770009863955,92.5985025448408
0.4,0.018833333333333334,0.008888899569570742,13.023578826333427,93.4963503648372
0.4,0.018866666666666667,0.008889308691324265,13.034974545098445,94.39275729217552
0.4,0.0189,0.00888981087566203,13.04894763700812,95.28735977553403
0.4,0.018933333333333333,0.008890406027520633,13.065486460989755,96.17979895790266
0.4,0.018966666666666666,0.008891094034259939,13.084577299744076,97.06972157047223
0.4,0.019,0.008891874765695577,13.106204401447732,97.9567807909217
0.4,0.019033333333333333,0.008892748074136458,13.1303500271611,98.84063706113976
0.4,0.019066666666666666,0.008893713794427317,13.156994503606787,99.72095885988236
0.4,0.0191,0.008894771743996211,13.186116280949152,100.5974234263804
0.4,0.019133333333333332,0.008895921722907006,13.217691995180306,101.46971743145615
0.4,0.019166666666666665,0.008897163513916772,13.251696534693865,102.33753759327247
0.4,0.0192,0.008898496882538066,13.288103110610404,103.20059123542208
0.4,0.019233333333333335,0.008899921577106078,13.326883330407622,104.05859678564894
0.4,0.019266666666666668,0.008901437328850587,13.368007274396692,104.91128421407429
0.4,0.0193,0.008903043851972674,13.411443574587167,105.75839541037249
0.4,0.019333333333333334,0.008904740843726182,13.457159495483339,106.59968449988767
0.4,0.019366666666666667,0.008906527984503837,13.50512101635763,107.43491809920272
0.4,0.0194,0.008908404937928003,13.555292914562687,108.26387551216338
0.4,0.019433333333333334,0.008910371350945998,13.607638849451302,109.08634886780665
0.4,0.019466666666666667,0.008912426853929947,13.662121446494075,109.90214320205212
0.4,0.0195,0.008914571060781074,13.718702381203379,110.71107648537594
0.4,0.019533333333333333,0.0089168035690384,13.777342462493817,111.51297959900191
