rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg,tau_x_Nmm,tau_y_Nmm,tau_z_Nmm,tau_norm_Nmm,safe_torque_Nmm,danger_torque_Nmm,F_t_N
0.7,0.0007000611512921,0.009383110761093712,22.636988890080033,-110.19556664590786,-0.0015698886629917416,-0.010845507109351725,0.00012561544934626672,0.010959258830518754,0.005305307169356045,0.0044596162643857126,6.660491561846914e-06
0.7,0.0008000059169717,0.009377139820845813,22.549341663973163,-108.74095832619996,-0.0017516298136339861,-0.010810026672466881,0.0001341105997083496,0.010951843192650768,0.005266855665293979,0.004298193069661447,6.222031881749316e-06
0.7,0.0009000400896184,0.009371591565818295,22.46750796654451,-107.27283631805616,-0.00198605050888169,-0.010756331613558504,0.00012116438116896184,0.01093881836451869,0.005233687420389815,0.004078743222810518,5.632575449899576e-06
0.7,0.001000058487989,0.009366480954547344,22.391792207780014,-105.79347040679365,-0.002272395351186546,-0.010673577217174764,8.436313545219509e-05,0.01091311817867422,0.005202400109257075,0.0037954552077232267,4.880209894544344e-06
0.7,0.0011000139638781,0.009361817858106471,22.322421598859936,-104.30436660673875,-0.0026054068139666643,-0.010548221220001264,2.2248974895044786e-05,0.010865247838371325,0.0051677232478415745,0.0034449864500407487,3.960807927647424e-06
0.7,0.0012000863207504,0.009357601554548702,22.25946137444524,-102.80368796407517,-0.0028560928894408267,-0.010422220398047612,-2.068281969640033e-05,0.010806496768038418,0.005122240574437729,0.0031655332725945002,3.1833810893944414e-06
0.7,0.0013000426115468,0.009353848463368182,22.20322763732135,-101.29582775487738,-0.0027449620102679567,-0.010443481955455176,6.693294133533999e-05,0.010798407836823351,0.005066107598299143,0.0032909211474314404,3.2721572729419877e-06
0.7,0.0014000559458509,0.009350557570551888,22.15377039334958,-99.77913048232712,-0.002697437673137011,-0.010428715767616236,0.00012993896045310292,0.010772704706601306,0.005008102321470813,0.0033393351199848876,3.1670735498849184e-06
0.7,0.0015000704443082,0.009347736289791986,22.111259291594884,-98.25542801095128,-0.0026424728825510425,-0.010409782305748216,0.00019488361476583446,0.010741704250787696,0.004946849920980342,0.003392092750813577,3.0521639830322233e-06
0.7,0.0016000049654394,0.00934539078594089,22.075838428016432,-96.72699353564654,-0.0022086065330598026,-0.010540185167411094,0.0004164006230543771,0.01077714413284277,0.0048549269732928195,0.0038724160527129434,3.839031532144936e-06
0.7,0.0017000631196424,0.009343520286089542,22.047539369605218,-95.1917729797994,-0.0018412552376530348,-0.01061395229647605,0.0006147709094231849,0.01079000219986664,0.004749162263695526,0.004263161902343271,4.405601931545931e-06
0.7,0.0018000535201281,0.009342131712480321,22.026501762200926,-93.6537900235669,-0.0015402030491131462,-0.010645548408504716,0.0007890151591642813,0.0107852895775545,0.004637782906287451,0.004571752791884202,4.769768729510828e-06
0.7,0.0019000484608113,0.009341225793672824,22.01276295179372,-92.11304938624377,-0.0013097441761142376,-0.010641959893245812,0.0009358256629973917,0.010763015834227974,0.004526874551303109,0.0047973972709332005,5.0272109054946325e-06
0.7,0.002000059466809,0.00934080400263276,22.00636254310771,-90.57050146787114,-0.0011495634529593126,-0.01060642661917807,0.0010531633117074725,0.010720398067306808,0.004419859743483282,0.004941405806425374,4.997314468725391e-06
0.7,0.0021000010892748,0.009340866976907164,22.007318286408776,-89.02860209143134,-0.001059377158778556,-0.010537765865909186,0.0011382959440991037,0.010651878100392202,0.004318498688480138,0.005002544590326658,4.7729098873507306e-06
0.7,0.0022000833414494,0.009341415267475506,22.015637331634107,-87.48525215867166,-0.0010363176837598677,-0.010432196343545391,0.0011892791811520956,0.010550784798425047,0.004222739006215755,0.004980521751060114,4.363306014151189e-06
0.7,0.0023000345099717,0.00934244659184096,22.03127456905017,-85.94577738623461,-0.001024727981905536,-0.010340710122891377,0.0012357917746595518,0.010464584778809172,0.00413715837982211,0.004955354018765875,4.032047009265365e-06
0.7,0.002400042489171,0.009343960723401408,22.05420693384918,-84.40840695131011,-0.0008609680709611822,-0.010433715775928715,0.001379751550520759,0.010559706684053436,0.0040730926510983805,0.005177469002152673,4.640568097097148e-06
0.7,0.0025000090245157,0.009345953902133339,22.08434892955815,-82.87575913733484,-0.0007589754715829934,-0.01048467008095476,0.001491885686431179,0.010617441941179181,0.004010404642512195,0.005318703015875782,4.965662313823821e-06
0.7,0.0026000451762229,0.009348425404498487,22.121652413218012,-81.3472178791226,-0.0007173800416960595,-0.01050496054302658,0.0015722319077643887,0.010646160965651495,0.00395496576833342,0.005386092836326753,5.091916914947994e-06
0.7,0.0027000687550753,0.00935136971819669,22.16598874501049,-79.82509922290399,-0.0007372106621416583,-0.010501276269603729,0.0016189805167453695,0.010650886383983205,0.0039116627124636495,0.005381747721752261,5.027178908278196e-06
0.7,0.0028000453021377,0.009354780779446629,22.21721364843103,-78.3109421207174,-0.0008175262491023064,-0.010475758665487249,0.0016305031024874492,0.010633363021768967,0.0038830513695171836,0.005307029786035137,4.8652778362479065e-06
0.7,0.002900016028434,0.009358654269061595,22.275202238501507,-76.8050963859621,-0.0009586371110298439,-0.010426027977040018,0.0016037261225785122,0.010592118860969486,0.0038705313301534757,0.005159504755266395,4.424747840983889e-06
0.7,0.003000000026077,0.009362984905212143,22.33980884965757,-75.30821069626148,-0.001174823370802533,-0.010396405826468778,0.001538232700263399,0.010575047229274081,0.0038959329818660515,0.004951756704285896,3.961011944409815e-06
0.6,0.0,0.009286833776766482,21.167255659680023,-123.95541966443677,-0.001055813389618367,-0.010771425508090737,-0.0007047205002922094,0.010845966087609592,0.0060161453548623275,0.004580224199534117,7.37731580285307e-06
0.6,0.000100101402495,0.009275759380213805,20.989886179876702,-122.4999201107385,-0.0010707275650979385,-0.010759597976482524,-0.0006393746898943429,0.010831629892507633,0.00595309286978962,0.004581398288879504,7.375853618540788e-06
0.6,0.0002000974782276,0.009265140714087173,20.818058277960308,-121.01920894362001,-0.001087348076382878,-0.01074713570953842,-0.000575296805521497,0.010817311043549256,0.005890680774249467,0.004580487654780037,7.369002689407721e-06
0.6,0.0003000949509441,0.009254982401038682,20.652028274170387,-119.51195495120267,-0.001110212512380502,-0.010733861045242288,-0.0005137858413607303,0.01080334765949883,0.005829603141840813,0.004573393271874322,7.344262292736935e-06
0.6,0.0004000964399892,0.00924530018926061,20.492239419705708,-117.97843980290146,-0.001145872697624296,-0.010719661897986055,-0.00045695322001857146,0.0107904115626597,0.00577113801696284,0.004554198255028952,7.283543885568643e-06
0.6,0.0005000106757506,0.009236117575167731,20.339273143230834,-116.42054189537298,-0.0012012747360092494,-0.010704448234116978,-0.00040730416285949395,0.010779339945903315,0.005716883766146845,0.004516561922305772,7.166757207561939e-06
0.6,0.0006000370485708,0.009227430962412898,20.193265207626187,-114.83571966851478,-0.001285672777632659,-0.010687463423949004,-0.00036810659567827406,0.010770809226570456,0.005668585989412503,0.004451721258271817,6.967614706309886e-06
0.6,0.0007000611512921,0.00921926491425191,20.054825113858822,-113.22645802338147,-0.0014075613113473371,-0.010666695332106119,-0.00034294533259326965,0.010764628635225825,0.005627677148853572,0.004350764353212924,6.660491561846914e-06
0.6,0.0008000059169717,0.009211638075847212,19.924469807474438,-111.59488066465408,-0.0015736153135424494,-0.010637889176190235,-0.0003351814330743823,0.010758870659739267,0.005594387052582314,0.00420512116381472,6.222031881749316e-06
0.6,0.0009000400896184,0.009204549836685161,19.802386756440605,-109.93922840599986,-0.001787583852207128,-0.010593739372550561,-0.00034749276608714037,0.010749117226297355,0.005567017369110115,0.004007161856103983,5.632575449899576e-06
0.6,0.001000058487989,0.009198019597378258,19.689103504637664,-108.2623624920341,-0.0020486864539957066,-0.010523763502385788,-0.00038163638357971257,0.010728110773580057,0.0055417892808737835,0.003751486494760059,4.880209894544344e-06
0.6,0.0011000139638781,0.009192060247135194,19.58503316889268,-106.56638869006215,-0.0023520354324899845,-0.010414671815692873,-0.0004382875173359734,0.01068595132181166,0.005512863189820063,0.0034348313487150024,3.960807927647424e-06
0.6,0.0012000863207504,0.009186671118951125,19.49034414050334,-104.84967560086301,-0.002577513896851698,-0.010303713829471808,-0.00047429614666874825,0.010631794458267948,0.005470933992108228,0.003185462082185639,3.1833810893944414e-06
0.6,0.0013000426115468,0.00918187343526442,19.405579315219935,-103.11779194505812,-0.0024644308812188905,-0.010327200676477296,-0.0003841849159511822,0.010624127796209101,0.005413932822168602,0.003314382780711152,3.2721572729419877e-06
0.6,0.0014000559458509,0.009177666114031913,19.330877515832775,-101.36945948654974,-0.002409461058303318,-0.01031837043910417,-0.0003163603507879958,0.010600677100148349,0.005355356930667456,0.003373351138602117,3.1670735498849184e-06
0.6,0.0015000704443082,0.009174058822895854,19.266552760578808,-99.6074710465769,-0.002346663426625579,-0.010306108009453018,-0.0002455473773572423,0.010572747280385585,0.0052930366549714825,0.0034376778385701184,3.0521639830322233e-06
0.6,0.0016000049654394,0.009171059609364889,19.21287475922031,-97.83521128780842,-0.001928895402432925,-0.010429757761932182,-2.3174693786547247e-05,0.01060664987225201,0.005195767728617933,0.0039019827390577794,3.839031532144936e-06
0.6,0.0017000631196424,0.009168667623541918,19.16993561116081,-96.05110245138688,-0.001571913651134997,-0.010501087426157863,0.0001793025370055391,0.010619599759793773,0.005084484346589936,0.004284519469995164,4.405601931545931e-06
0.6,0.0018000535201281,0.009166891828678317,19.137983369318928,-94.2606718962168,-0.0012757228310296574,-0.010534142196550371,0.0003603114899719227,0.010617223974681856,0.004967692678055631,0.0045921330957573794,4.769768729510828e-06
0.6,0.0019000484608113,0.00916573323983671,19.11710224831046,-92.46482091355888,-0.0010445779806472115,-0.01053577134528408,0.0005162598718743763,0.010600006851557686,0.004851655308976366,0.004823904134149636,5.0272109054946325e-06
0.6,0.002000059466809,0.009165193795324308,19.107370600763357,-90.66557710305237,-0.0008784666669056607,-0.010509007627476571,0.0006449790362509731,0.010565365254283844,0.004739778352479476,0.004980754201842871,4.997314468725391e-06
0.6,0.0021000010892748,0.009165274335974792,19.108823940072966,-88.8667416467315,-0.0007774660047984569,-0.010452522610402722,0.000743770083880436,0.010507753149330874,0.004633693106433561,0.005061096457493465,4.7729098873507306e-06
