time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.1134,0.567,-4.086490747363488,0.010000000000000002,0.009974576129400883,-0.0007126226482410896,-4.336808689942018e-19,-0.0007750646059723535,0.009682601230633343,-0.0013254997247319471,0.0021190289965626365
0.1136,0.568,-4.143755809932839,0.01,0.009973858906975037,-0.0007225915192933763,-8.673617379884035e-19,-0.0007859069769427423,0.009681126344672213,-0.001335370094829359,0.002119570571679339
0.11380000000000001,0.5690000000000001,-4.200857284118066,0.01,0.009973133812913882,-0.0007325311936797052,-4.336808689942018e-19,-0.0007967175929549466,0.009679646042649865,-0.0013452109401459562,0.0021201084914514285
0.114,0.57,-4.257792915650725,0.01,0.009972400962286462,-0.0007424412753801534,-4.336808689942018e-19,-0.0008074960232886878,0.009678160467680415,-0.0013550218739280567,0.0021206427523287673
0.11420000000000001,0.5710000000000001,-4.31456045680959,0.01,0.009971660471384298,-0.0007523213697828188,-1.3010426069826053e-18,-0.0008182418387550827,0.009676669763962047,-0.001364802510897939,0.002121173351112392
0.1144,0.572,-4.371157666509327,0.010000000000000002,0.009970912457702692,-0.000762171083700581,0.0,-0.0008289546117148735,0.009675174076757444,-0.0013745524672693547,0.0021217002849517903
0.11460000000000001,0.573,-4.427582310389017,0.01,0.009970157039921781,-0.0007719900253877356,0.0,-0.0008396339160965191,0.009673673552374014,-0.0013842713607629031,0.0021222235513421216
0.1148,0.574,-4.483832160900322,0.009999999999999998,0.009969394337887474,-0.0007817778045564723,0.0,-0.0008502793274141171,0.009672168338143987,-0.0013939588106212392,0.002122743148121405
0.115,0.575,-4.5399049973954675,0.01,0.009968624472592162,-0.0007915340323932222,0.0,-0.0008608904227851834,0.009670658582404323,-0.0014036144376241406,0.002123259073467648
0.11520000000000001,0.5760000000000001,-4.5957986062148795,0.010000000000000004,0.00996784756615525,-0.0008012583215748468,-8.673617379884035e-19,-0.0008714667809482609,0.009669144434476442,-0.0014132378641034042,0.0021237713258959274
0.1154,0.577,-4.651510780774586,0.01,0.009967063741803539,-0.0008109502862846882,0.0,-0.0008820079822803721,0.009667626044645826,-0.001422828713957597,0.002124279904255433
0.11560000000000001,0.578,-4.707039321653325,0.01,0.009966273123851444,-0.0008206095422284727,-4.336808689942018e-19,-0.000892513608814324,0.00966610356414146,-0.0014323866126666482,0.0021247848077264576
0.1158,0.579,-4.762382036679392,0.01,0.009965475837680975,-0.0008302357066500632,-4.336808689942018e-19,-0.0009029832442558318,0.009664577145115084,-0.0014419111873062815,0.002125286035817342
0.116,0.58,-4.817536741017151,0.01,0.009964672009721636,-0.0008398283983470622,-8.673617379884035e-19,-0.0009134164740004954,0.009663046940620342,-0.001451402066562287,0.0021257835883613813
