event,start_s,end_s,duration_us,peak_force_N,sector_deg,sector_bin_30deg,true_separation_after
161,0.013695872388780117,0.013920271769165993,224.76306185126305,0.08364704166696572,168.76480000676685,6,1
162,0.013952472247183323,0.01395387202501297,1.501757651567459,0.06599635982907903,54.21374464430579,2,0
163,0.0139705715700984,0.013971972279250622,1.501757651567459,0.03406550250006331,54.236070483031,2,0
164,0.013980171643197536,0.013983171433210373,3.103632479906082,0.058513348872958455,216.32660638057828,7,1
165,0.014004171825945377,0.014005571603775024,1.501757651567459,0.044742297115723625,54.23670864325376,2,0
166,0.014014971442520618,0.014318271540105343,303.7555143237114,0.048547770121307295,176.0602563023186,6,0
167,0.014331570826470852,0.014332870952785015,1.4016404747962952,0.031148344517357318,54.222591031834156,2,0
168,0.01434097159653902,0.014350071549415588,9.210780262947083,0.028399568000517596,199.76828225527984,7,0
169,0.014358671382069588,0.014628170989453793,269.915908575058,0.029989194071989494,112.21050790511649,4,0
170,0.014638670720160007,0.014640170149505138,1.601874828338623,0.024002525644376684,219.25497965414962,7,0
171,0.014646670781075954,0.014649470336735249,2.9033981263637543,0.020201639708381965,64.30605449688073,2,0
172,0.01465677097439766,0.014984370209276676,328.08398827910423,0.092437817860585,195.19100130701682,7,1
173,0.015021669678390026,0.01502296980470419,1.4016404747962952,0.08141096700020997,50.77678308585768,2,1
174,0.01504427008330822,0.015045669861137867,1.501757651567459,0.043220028495055955,50.788243590728236,2,0
175,0.015055269934237003,0.01505666971206665,1.501757651567459,0.10088413867283913,234.2254497157718,8,0
176,0.015069969929754734,0.015071270056068897,1.4016404747962952,0.03116636770146739,50.81166980572767,2,0
177,0.015079270116984844,0.01509786956012249,18.721912056207657,0.03694609839215414,248.0275161729679,8,0
178,0.015108269639313221,0.015109669417142868,1.501757651567459,0.024934201551594367,50.77424651186492,2,0
179,0.015115469694137573,0.015272269025444984,157.08385035395622,0.03019665989917157,7.485563895036849,0,0
180,0.015278569422662258,0.01549626886844635,218.05521100759506,0.02283728754076869,308.90989795287896,10,0
181,0.01550286915153265,0.015624568797647953,121.94272130727768,0.13193225344087753,249.24805227130435,8,1
182,0.015674768015742302,0.015676068142056465,1.4016404747962952,0.10581337324518404,52.662516024741315,2,1
183,0.015704568475484848,0.01570586860179901,1.4016404747962952,0.058445342745202564,52.93181774757057,2,0
184,0.01572156883776188,0.015725668519735336,4.2049214243888855,0.13942674851607534,253.79580246060777,8,1
185,0.01575956866145134,0.015760868787765503,1.4016404747962952,0.07233882466251285,52.96981057658226,2,0
186,0.01577186770737171,0.015778368338942528,6.60773366689682,0.06861653448578947,264.44694243084905,9,0
187,0.01578756794333458,0.015807967633008957,20.524021238088608,0.031637916020917124,342.76666024386543,11,0
188,0.015815868973731995,0.01635676622390747,541.6339263319969,0.08052623868016455,306.314456988778,10,1
189,0.016382867470383644,0.016384167596697807,1.4016404747962952,0.056490461101713414,54.214975029917305,2,0
190,0.016399167478084564,0.016400566324591637,1.501757651567459,0.03007303057926259,54.18373409927533,2,0
191,0.01640806719660759,0.016424067318439484,16.118865460157394,0.06249716102662687,282.3545060023847,9,0
192,0.016439666971564293,0.016440967097878456,1.4016404747962952,0.036017701249543586,54.26085545327948,2,0
193,0.016450166702270508,0.0164638664573431,13.816170394420624,0.03683510572697884,299.3759784824745,10,0
