region,parameter,x_mm,radius_mm
HEAD,0.344,0.044669540891904995,0.1846429005557015
HEAD,0.346,0.045287573069018545,0.1858451162397134
HEAD,0.348,0.04590957910197162,0.18704773071163466
HEAD,0.35,0.04653553762871562,0.18825070840526562
HEAD,0.352,0.04716542695847194,0.18945401351647886
HEAD,0.354,0.0477992250743764,0.19065761000736092
HEAD,0.356,0.048436909636123925,0.19186146161035347
HEAD,0.358,0.04907845798261291,0.19306553183239467
HEAD,0.36,0.049723847134589945,0.19426978395906044
HEAD,0.362,0.05037305379729421,0.19547418105870604
HEAD,0.364,0.05102605436310208,0.19667868598660698
HEAD,0.366,0.05168282491417166,0.19788326138910087
HEAD,0.368,0.052343341225087325,0.19908786970772835
HEAD,0.37,0.05300757876550424,0.2002924731833747
HEAD,0.372,0.05367551270279293,0.201497033860411
HEAD,0.374,0.05434711790468381,0.20270151359083538
HEAD,0.376,0.05502236894191168,0.20390587403841479
HEAD,0.378,0.05570124009086036,0.20511007668282594
HEAD,0.38,0.05638370533620714,0.20631408282379662
HEAD,0.382,0.05706973837356735,0.2075178535852474
HEAD,0.384,0.05775931261213892,0.20872134991943259
HEAD,0.386,0.058452401177346916,0.2099245326110818
HEAD,0.388,0.05914897691348803,0.2111273622815411
HEAD,0.39,0.05984901238637518,0.21232979939291463
HEAD,0.392,0.06055247988598203,0.21353180425220572
HEAD,0.394,0.06125935142908755,0.21473333701545821
HEAD,0.396,0.06196959876192048,0.21593435769189795
HEAD,0.398,0.06268319336280394,0.217134826148074
HEAD,0.4,0.06340010644480001,0.21833470211199998
HEAD,0.402,0.06412030895835413,0.21953394517729566
HEAD,0.404,0.0648437715939398,0.22073251480732778
HEAD,0.406,0.06557046478470296,0.22193037033935192
HEAD,0.408,0.0663003587091067,0.22312747098865354
HEAD,0.41,0.06703342329357562,0.22432377585268937
HEAD,0.412,0.06776962821514058,0.22551924391522882
HEAD,0.414,0.06850894290408305,0.22671383405049522
HEAD,0.416,0.06925133654657967,0.22790750502730725
HEAD,0.418,0.06999677808734694,0.22910021551322016
HEAD,0.42,0.07074523623228567,0.23029192407866736
HEAD,0.422,0.07149667945112541,0.2314825892011014
HEAD,0.424,0.07225107598006918,0.23267216926913553
HEAD,0.426,0.07300839382443787,0.23386062258668502
